ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
cr-eac9e8dd8575f4c7831f1f6a72607126-1-1,cr-eac9e8dd8575f4c7831f1f6a72607126-1,húuli-,1,false,expert,,,,
pch-f3be4e6970b83bda9781dc0519c72590-1-1,pch-f3be4e6970b83bda9781dc0519c72590-1,*hú•ri-,1,false,expert,,,,
hi-eac9e8dd8575f4c7831f1f6a72607126-1-1,hi-eac9e8dd8575f4c7831f1f6a72607126-1,hú•riširu,1,false,expert,,,,
ma-eac9e8dd8575f4c7831f1f6a72607126-1-1,ma-eac9e8dd8575f4c7831f1f6a72607126-1,hóraʔke,1,false,expert,,,,
of-eac9e8dd8575f4c7831f1f6a72607126-1-1,of-eac9e8dd8575f4c7831f1f6a72607126-1,[†ó•wati],1,false,expert,,,,
ch-6946c65d4849463e7d2372b2152721ce-1-1,ch-6946c65d4849463e7d2372b2152721ce-1,θʔída,2,false,expert,,,,
qu-eac9e8dd8575f4c7831f1f6a72607126-1-1,qu-eac9e8dd8575f4c7831f1f6a72607126-1,siótti,2,false,expert,,,,
ca-d7b1cb86a8b6ac5e9b6618daece99b2a-1-1,ca-d7b1cb86a8b6ac5e9b6618daece99b2a-1,sųdá•,2,false,expert,,,,
tu-eac9e8dd8575f4c7831f1f6a72607126-1-1,tu-eac9e8dd8575f4c7831f1f6a72607126-1,setoŋle,2,false,expert,,,,
tu-eac9e8dd8575f4c7831f1f6a72607126-2-1,tu-eac9e8dd8575f4c7831f1f6a72607126-2,sitō,2,false,expert,,,,
tu-d7b1cb86a8b6ac5e9b6618daece99b2a-1-1,tu-d7b1cb86a8b6ac5e9b6618daece99b2a-1,šitóre,2,false,expert,,,,
tu-d7b1cb86a8b6ac5e9b6618daece99b2a-2-1,tu-d7b1cb86a8b6ac5e9b6618daece99b2a-2,citóre,2,false,expert,,,,
ks-eac9e8dd8575f4c7831f1f6a72607126-1-1,ks-eac9e8dd8575f4c7831f1f6a72607126-1,ʔsídoǰi ~ sidóǰi,2,false,expert,,,,
psi-d7b1cb86a8b6ac5e9b6618daece99b2a-1-1,psi-d7b1cb86a8b6ac5e9b6618daece99b2a-1,*sitó• (?),2,false,expert,,,,
pdh-d7b1cb86a8b6ac5e9b6618daece99b2a-1-1,pdh-d7b1cb86a8b6ac5e9b6618daece99b2a-1,*sitóti,2,false,expert,,,,
os-eac9e8dd8575f4c7831f1f6a72607126-1-1,os-eac9e8dd8575f4c7831f1f6a72607126-1,çidódsi,2,false,expert,,,,
op-eac9e8dd8575f4c7831f1f6a72607126-1-1,op-eac9e8dd8575f4c7831f1f6a72607126-1,çidadi,2,false,expert,,,,
pmv-b3382ec7260b5e472fe169863ba98706-1-1,pmv-b3382ec7260b5e472fe169863ba98706-1,*é•,3,false,expert,,,,
psi-b3382ec7260b5e472fe169863ba98706-1-1,psi-b3382ec7260b5e472fe169863ba98706-1,*é•,3,false,expert,,,,
qu-8886e6cff3b041ec3e248f6ec61031dc-1-1,qu-8886e6cff3b041ec3e248f6ec61031dc-1,ée,3,false,expert,,,,
qu-b131fb0a149bdd88096d6b186dcf8b35-1-1,qu-b131fb0a149bdd88096d6b186dcf8b35-1,hawé,3,false,expert,,,,
wi-89fe6e755ae168835f871b3cddaf04c5-1-1,wi-89fe6e755ae168835f871b3cddaf04c5-1,éhą,3,false,expert,,,,
wi-b3382ec7260b5e472fe169863ba98706-1-1,wi-b3382ec7260b5e472fe169863ba98706-1,ehą ?,3,false,expert,,,,
ks-08520db89fa3446dd94d051b35b714c0-1-1,ks-08520db89fa3446dd94d051b35b714c0-1,howé,3,false,expert,,,,
pch-b3382ec7260b5e472fe169863ba98706-1-1,pch-b3382ec7260b5e472fe169863ba98706-1,*é•,3,false,expert,,,,
hi-a6105c0a611b41b08f1209506350279e-1-1,hi-a6105c0a611b41b08f1209506350279e-1,ée,3,false,expert,,,,
cr-b3382ec7260b5e472fe169863ba98706-1-1,cr-b3382ec7260b5e472fe169863ba98706-1,ée,3,false,expert,,,,
os-b3382ec7260b5e472fe169863ba98706-1-1,os-b3382ec7260b5e472fe169863ba98706-1,howé,3,false,expert,,,,
pmv-9874150d19ec3c0801d6b6090879a4c7-1-1,pmv-9874150d19ec3c0801d6b6090879a4c7-1,*(a)hą•,4,false,expert,,,,
psi-9874150d19ec3c0801d6b6090879a4c7-1-1,psi-9874150d19ec3c0801d6b6090879a4c7-1,*ahą́•,4,false,expert,,,,
ma-a6105c0a611b41b08f1209506350279e-1-1,ma-a6105c0a611b41b08f1209506350279e-1,hų́•,4,false,expert,,,,
bi-9874150d19ec3c0801d6b6090879a4c7-1-1,bi-9874150d19ec3c0801d6b6090879a4c7-1,aⁿ,4,false,expert,,,,
bi-9874150d19ec3c0801d6b6090879a4c7-2-1,bi-9874150d19ec3c0801d6b6090879a4c7-2,aⁿháⁿ,4,false,expert,,,,
la-a6105c0a611b41b08f1209506350279e-1-1,la-a6105c0a611b41b08f1209506350279e-1,hą́,4,false,expert,,,,
ch-9874150d19ec3c0801d6b6090879a4c7-1-1,ch-9874150d19ec3c0801d6b6090879a4c7-1,hų́če,4,false,expert,,,,
ca-9874150d19ec3c0801d6b6090879a4c7-1-1,ca-9874150d19ec3c0801d6b6090879a4c7-1,hįbáʔ,4,false,expert,,,,
tu-9874150d19ec3c0801d6b6090879a4c7-1-1,tu-9874150d19ec3c0801d6b6090879a4c7-1,ahá,4,false,expert,,,,
sv-9874150d19ec3c0801d6b6090879a4c7-1-1,sv-9874150d19ec3c0801d6b6090879a4c7-1,hą,4,false,expert,,,,
wi-89fe6e755ae168835f871b3cddaf04c5-2-1,wi-89fe6e755ae168835f871b3cddaf04c5-2,hą́,4,false,expert,,,,
wi-41c7ddcdd51d8c193204d763324248c0-1-1,wi-41c7ddcdd51d8c193204d763324248c0-1,hą,4,false,expert,,,,
wi-9874150d19ec3c0801d6b6090879a4c7-1-1,wi-9874150d19ec3c0801d6b6090879a4c7-1,éhą,4,false,expert,,,,
wi-9874150d19ec3c0801d6b6090879a4c7-2-1,wi-9874150d19ec3c0801d6b6090879a4c7-2,ehą ?,4,false,expert,,,,
wi-9874150d19ec3c0801d6b6090879a4c7-3-1,wi-9874150d19ec3c0801d6b6090879a4c7-3,áhą,4,false,expert,,,,
wi-9874150d19ec3c0801d6b6090879a4c7-4-1,wi-9874150d19ec3c0801d6b6090879a4c7-4,ahą ?,4,false,expert,,,,
da-9874150d19ec3c0801d6b6090879a4c7-1-1,da-9874150d19ec3c0801d6b6090879a4c7-1,hą,4,false,expert,,,,
ks-3ae5b7db90879ecf9b123b205b827c5a-1-1,ks-3ae5b7db90879ecf9b123b205b827c5a-1,hą,4,false,expert,,,,
ks-9874150d19ec3c0801d6b6090879a4c7-1-1,ks-9874150d19ec3c0801d6b6090879a4c7-1,ąhá,4,false,expert,,,,
hi-a6105c0a611b41b08f1209506350279e-2-1,hi-a6105c0a611b41b08f1209506350279e-2,ho,4,false,expert,,,,
pdh-9874150d19ec3c0801d6b6090879a4c7-1-1,pdh-9874150d19ec3c0801d6b6090879a4c7-1,*ąhą,4,false,expert,,,,
qu-9874150d19ec3c0801d6b6090879a4c7-1-1,qu-9874150d19ec3c0801d6b6090879a4c7-1,hǫ,4,false,expert,,,,
pse-9874150d19ec3c0801d6b6090879a4c7-1-1,pse-9874150d19ec3c0801d6b6090879a4c7-1,*ahą́,4,false,expert,,,,
os-9874150d19ec3c0801d6b6090879a4c7-1-1,os-9874150d19ec3c0801d6b6090879a4c7-1,oⁿ,4,false,expert,,,,
pda-9874150d19ec3c0801d6b6090879a4c7-1-1,pda-9874150d19ec3c0801d6b6090879a4c7-1,*(o)hą́,4,false,expert,,,,
op-a6105c0a611b41b08f1209506350279e-1-1,op-a6105c0a611b41b08f1209506350279e-1,ą́hą,4,false,expert,,,,
qu-74e8e112d17d1d3ffd797a2df1681e57-1-1,qu-74e8e112d17d1d3ffd797a2df1681e57-1,žihí,5,false,expert,,,,
pmv-a5bc97fedda027faff6364968cee69d3-1-1,pmv-a5bc97fedda027faff6364968cee69d3-1,*ží•,5,false,expert,,,,
psi-a5bc97fedda027faff6364968cee69d3-1-1,psi-a5bc97fedda027faff6364968cee69d3-1,*ší•(-re),5,false,expert,,,,
ma-d487dd0b55dfcacdd920ccbdaeafa351-1-1,ma-d487dd0b55dfcacdd920ccbdaeafa351-1,sí•re,5,false,expert,,,,
