ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Abbr,Group,Source,Is_Proto
psc,Proto-Siouan-Catawba,,,,,,,,,,,true
psi,Proto-Siouan,,,,,,,,,,,true
pca,Proto-Catawba,,,,,,,,,,,true
pch,Proto-Crow-Hidatsa,,,,,,,,,,,true
pma,Pre-Mandan,,,,,,,,,,,true
pmv,Proto-Mississipi-Valley,,,,,,,,,,,true
pse,Proto-Southeastern,,,,,,,,,,,true
ca,Catawba,,,,,,,,,,,false
wo,Woccon,,,,,,,,,,,false
cr,Crow,,,,,,,,,,,false
hi,Hidatsa,,,,,,,,,,,false
ma,Mandan,,,,,,,,,,,false
pda,Proto-Dakota,,,,,,,,,,,true
pwc,Proto-Hoocąk-Chiwere,,,,,,,,,,,true
pdh,Proto-Dhegiha,,,,,,,,,,,true
pbo,Proto-Biloxi-Ofo,,,,,,,,,,,true
pts,Proto-Tutelo-Saponi,,,,,,,,,,,true
la,Lakota,,,,,,,,,,,false
da,Dakota,,,,,,,,,,,false
as,Assiniboine,,,,,,,,,,,false
ya,Yanktonai,,,,,,,,,,,false
st,Stoney,,,,,,,,,,,false
sv,Sioux Valley,,,,,,,,,,,false
ch,Chiwere,,,,,,,,,,,false
mo,Missouria,,,,,,,,,,,false
ot,Otoe,,,,,,,,,,,false
wi,Hoocąk,,,,,,,,,,,false
om,Omaha,,,,,,,,,,,false
op,Omaha-Ponca,,,,,,,,,,,false
pn,Ponca,,,,,,,,,,,false
ks,Kanza/Kaw,,,,,,,,,,,false
os,Osage,,,,,,,,,,,false
qu,Quapaw,,,,,,,,,,,false
bi,Biloxi,,,,,,,,,,,false
of,Ofo,,,,,,,,,,,false
tu,Tutelo,,,,,,,,,,,false
sp,Saponi,,,,,,,,,,,false
