ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Description,Sic,Doubt
cr-eac9e8dd8575f4c7831f1f6a72607126-1,,cr,eac9e8dd8575f4c7831f1f6a72607126,húuli-,húuli-,,,,,,,,yesterday,false,false
pch-f3be4e6970b83bda9781dc0519c72590-1,,pch,f3be4e6970b83bda9781dc0519c72590,*hú•ri-,*hú•ri-,,,,,,,,[yesterday (2)],false,false
hi-eac9e8dd8575f4c7831f1f6a72607126-1,,hi,eac9e8dd8575f4c7831f1f6a72607126,hú•riširu,hú•riširu,,,,,,,,yesterday,false,false
ma-eac9e8dd8575f4c7831f1f6a72607126-1,,ma,eac9e8dd8575f4c7831f1f6a72607126,hóraʔke,hóraʔke,,,,,,,,yesterday,false,false
of-eac9e8dd8575f4c7831f1f6a72607126-1,,of,eac9e8dd8575f4c7831f1f6a72607126,[†ó•wati],[†ó•wati],,,,,,,,yesterday,false,false
ch-6946c65d4849463e7d2372b2152721ce-1,,ch,6946c65d4849463e7d2372b2152721ce,θʔída,θʔída,,,,,,,,long ago,false,false
qu-eac9e8dd8575f4c7831f1f6a72607126-1,,qu,eac9e8dd8575f4c7831f1f6a72607126,siótti,siótti,,,,,,,,yesterday,false,false
ca-d7b1cb86a8b6ac5e9b6618daece99b2a-1,,ca,d7b1cb86a8b6ac5e9b6618daece99b2a,sųdá•,sųdá•,,,,,,,,[yesterday (1)],false,false
tu-eac9e8dd8575f4c7831f1f6a72607126-1,,tu,eac9e8dd8575f4c7831f1f6a72607126,setoŋle,setoŋle,,,,,,,,yesterday,false,false
tu-eac9e8dd8575f4c7831f1f6a72607126-2,,tu,eac9e8dd8575f4c7831f1f6a72607126,sitō,sitō,,,,,,,,yesterday,false,false
tu-d7b1cb86a8b6ac5e9b6618daece99b2a-1,,tu,d7b1cb86a8b6ac5e9b6618daece99b2a,šitóre,šitóre,,,,,,,,[yesterday (1)],false,false
tu-d7b1cb86a8b6ac5e9b6618daece99b2a-2,,tu,d7b1cb86a8b6ac5e9b6618daece99b2a,citóre,citóre,,,,,,,,[yesterday (1)],false,false
ks-eac9e8dd8575f4c7831f1f6a72607126-1,,ks,eac9e8dd8575f4c7831f1f6a72607126,ʔsídoǰi ~ sidóǰi,ʔsídoǰi ~ sidóǰi,,,,,,,,yesterday,false,false
psi-d7b1cb86a8b6ac5e9b6618daece99b2a-1,,psi,d7b1cb86a8b6ac5e9b6618daece99b2a,*sitó• (?),*sitó• (?),,,,,,,,[yesterday (1)],false,false
pdh-d7b1cb86a8b6ac5e9b6618daece99b2a-1,,pdh,d7b1cb86a8b6ac5e9b6618daece99b2a,*sitóti,*sitóti,,,,,,,,[yesterday (1)],false,false
os-eac9e8dd8575f4c7831f1f6a72607126-1,,os,eac9e8dd8575f4c7831f1f6a72607126,çidódsi,çidódsi,,,,,,,,yesterday,false,false
op-eac9e8dd8575f4c7831f1f6a72607126-1,,op,eac9e8dd8575f4c7831f1f6a72607126,çidadi,çidadi,,,,,,,,yesterday,false,false
pmv-b3382ec7260b5e472fe169863ba98706-1,,pmv,b3382ec7260b5e472fe169863ba98706,*é•,*é•,,,,,,,,[yes (2)],false,false
psi-b3382ec7260b5e472fe169863ba98706-1,,psi,b3382ec7260b5e472fe169863ba98706,*é•,*é•,,,,,,,,[yes (2)],false,false
qu-8886e6cff3b041ec3e248f6ec61031dc-1,,qu,8886e6cff3b041ec3e248f6ec61031dc,ée,ée,,,,,,,,"yes, used by children",false,false
qu-b131fb0a149bdd88096d6b186dcf8b35-1,,qu,b131fb0a149bdd88096d6b186dcf8b35,hawé,hawé,,,,,,,,"hello, greeting",false,false
wi-89fe6e755ae168835f871b3cddaf04c5-1,,wi,89fe6e755ae168835f871b3cddaf04c5,éhą,éhą,,,,,,,,female exclamation,false,false
wi-b3382ec7260b5e472fe169863ba98706-1,,wi,b3382ec7260b5e472fe169863ba98706,ehą ?,ehą ?,,,,,,,,[yes (2)],false,false
ks-08520db89fa3446dd94d051b35b714c0-1,,ks,08520db89fa3446dd94d051b35b714c0,howé,howé,,,,,,,,female speech,false,false
pch-b3382ec7260b5e472fe169863ba98706-1,,pch,b3382ec7260b5e472fe169863ba98706,*é•,*é•,,,,,,,,[yes (2)],false,false
hi-a6105c0a611b41b08f1209506350279e-1,,hi,a6105c0a611b41b08f1209506350279e,ée,ée,,,,,,,,yes,false,false
cr-b3382ec7260b5e472fe169863ba98706-1,,cr,b3382ec7260b5e472fe169863ba98706,ée,ée,,,,,,,,[yes (2)],false,false
os-b3382ec7260b5e472fe169863ba98706-1,,os,b3382ec7260b5e472fe169863ba98706,howé,howé,,,,,,,,[yes (2)],false,false
pmv-9874150d19ec3c0801d6b6090879a4c7-1,,pmv,9874150d19ec3c0801d6b6090879a4c7,*(a)hą•,*(a)hą•,,,,,,,,"[yes (1), to be so]",false,false
psi-9874150d19ec3c0801d6b6090879a4c7-1,,psi,9874150d19ec3c0801d6b6090879a4c7,*ahą́•,*ahą́•,,,,,,,,"[yes (1), to be so]",false,false
ma-a6105c0a611b41b08f1209506350279e-1,,ma,a6105c0a611b41b08f1209506350279e,hų́•,hų́•,,,,,,,,yes,false,false
bi-9874150d19ec3c0801d6b6090879a4c7-1,,bi,9874150d19ec3c0801d6b6090879a4c7,aⁿ,aⁿ,,,,,,,,"[yes (1), to be so]",false,false
bi-9874150d19ec3c0801d6b6090879a4c7-2,,bi,9874150d19ec3c0801d6b6090879a4c7,aⁿháⁿ,aⁿháⁿ,,,,,,,,"[yes (1), to be so]",false,false
la-a6105c0a611b41b08f1209506350279e-1,,la,a6105c0a611b41b08f1209506350279e,"hą́, ohą́",hą́,,,,,,,,yes,false,false
ch-9874150d19ec3c0801d6b6090879a4c7-1,,ch,9874150d19ec3c0801d6b6090879a4c7,hų́če,hų́če,,,,,,,,"[yes (1), to be so]",false,false
ca-9874150d19ec3c0801d6b6090879a4c7-1,,ca,9874150d19ec3c0801d6b6090879a4c7,hįbáʔ,hįbáʔ,,,,,,,,"[yes (1), to be so]",false,false
tu-9874150d19ec3c0801d6b6090879a4c7-1,,tu,9874150d19ec3c0801d6b6090879a4c7,"ahá, aháñ",ahá,,,,,,,,"[yes (1), to be so]",false,false
sv-9874150d19ec3c0801d6b6090879a4c7-1,,sv,9874150d19ec3c0801d6b6090879a4c7,hą,hą,,,,,,,,"[yes (1), to be so]",false,false
wi-89fe6e755ae168835f871b3cddaf04c5-2,,wi,89fe6e755ae168835f871b3cddaf04c5,"hą́, hą́ą",hą́,,,,,,,,female exclamation,false,false
wi-41c7ddcdd51d8c193204d763324248c0-1,,wi,41c7ddcdd51d8c193204d763324248c0,"hą, hąą",hą,,,,,,,,male exclamation,false,false
wi-9874150d19ec3c0801d6b6090879a4c7-1,,wi,9874150d19ec3c0801d6b6090879a4c7,éhą,éhą,,,,,,,,"[yes (1), to be so]",false,false
