pk,jsondata,language_pk,identifier_pk,description,version
1,{},2,1,,1
2,{},10,2,,1
3,{},10,3,,1
4,{},11,4,,1
5,{},11,5,,1
6,{},12,6,,1
7,{},12,7,,1
8,{},18,8,,1
9,{},18,9,,1
10,{},19,10,,1
11,{},19,11,,1
12,{},20,12,,1
13,{},20,13,,1
14,{},21,14,,1
15,{},21,15,,1
16,{},22,16,,1
17,{},22,17,,1
18,{},24,18,,1
19,{},24,19,,1
20,{},26,20,,1
21,{},26,21,,1
22,{},27,22,,1
23,{},27,23,,1
24,{},28,24,,1
25,{},28,25,,1
26,{},29,26,,1
27,{},29,27,,1
28,{},30,28,,1
29,{},30,29,,1
30,{},31,30,,1
31,{},31,31,,1
32,{},32,32,,1
33,{},32,33,,1
34,{},33,34,,1
35,{},33,35,,1
36,{},34,36,,1
37,{},34,37,,1
38,{},35,38,,1
39,{},35,39,,1
40,{},36,40,,1
41,{},36,41,,1
42,{},37,42,,1
43,{},37,43,,1
44,{},8,44,,1
45,{},8,45,,1
46,{},9,46,,1
47,{},9,47,,1
