pk,jsondata,key,description,value_pk,source_pk
1,{},,38,1,1
2,{},,,3,2
3,{},,,4,3
4,{},,328,5,4
5,{},,,5,5
6,{},,69,6,6
7,{},,,7,7
8,{},,,8,8
9,{},,,8,9
10,{},,1883a,10,10
11,{},,1882,11,7
12,{},,,13,11
13,{},,30a,16,12
14,{},,192,17,13
15,{},,,20,7
16,{},,935,22,14
17,{},,,24,11
18,{},,,26,2
19,{},,,27,15
20,{},,67b,28,12
21,{},,,31,3
22,{},,177a,33,4
23,{},,,34,3
24,{},,,35,16
25,{},,,36,8
26,{},,,36,13
27,{},,,37,10
28,{},,,38,17
29,{},,776,39,18
30,{},,935,40,14
31,{},,,46,11
32,{},,,47,11
33,{},,,48,2
34,{},,,50,7
35,{},,,50,11
36,{},,121b,52,12
37,{},,,54,7
38,{},,,55,7
39,{},,,58,3
40,{},,,59,3
41,{},,,60,11
42,{},,4015,61,18
43,{},,,63,11
44,{},,,65,2
45,{},,137,70,13
46,{},,222b,71,12
47,{},,316,75,10
48,{},,,76,3
49,{},,,77,17
50,{},,489,78,18
51,{},,,80,7
52,{},,,82,2
53,{},,62,85,19
54,{},,85,85,1
55,{},,,89,3
56,{},,,89,11
57,{},,,90,8
58,{},,,90,13
59,{},,,92,3
60,{},,,93,10
61,{},,,94,10
62,{},,254a,97,4
63,{},,3975,98,18
64,{},,649b,100,20
65,{},,,101,2
66,{},,,103,11
67,{},,,105,3
68,{},,,106,3
69,{},,323b,107,4
70,{},,319,108,4
71,{},,,108,5
72,{},,,109,11
73,{},,,112,11
74,{},,,114,3
75,{},,,114,11
76,{},,,117,3
77,{},,,118,3
78,{},,29,119,21
79,{},,,120,22
80,{},,237,122,20
81,{},,,123,2
82,{},,,125,7
83,{},,,127,16
84,{},,,128,7
85,{},,,129,11
86,{},,,129,7
87,{},,358b,131,12
88,{},,17a,131,12
89,{},,190,132,13
90,{},,,133,2
91,{},,62,135,19
92,{},,,138,3
93,{},,419,141,23
94,{},,221a,142,4
95,{},,2763,143,18
96,{},,3517,144,18
97,{},,3848,145,18
98,{},,626b,149,20
99,{},,,150,24
100,{},,,151,16
101,{},,163a,154,12
102,{},,406a,156,20
103,{},,221a,158,4
104,{},,423a,159,23
105,{},,,161,11
106,{},,684,162,18
107,{},,850,163,18
108,{},,,166,11
109,{},,26b,168,12
110,{},,26b,169,12
111,{},,,170,7
112,{},,,173,3
113,{},,239b,174,4
114,{},,239b,175,4
115,{},,,176,3
116,{},,285,177,21
117,{},,,178,17
118,{},,2405,179,18
119,{},,2404,180,18
120,{},,,181,25
121,{},,344a,185,20
122,{},,,186,11
123,{},,,188,2
124,{},,58,192,19
125,{},,165a,194,12
126,{},,,196,11
127,{},,477a,199,23
128,{},,477a,200,23
129,{},,269b,201,4
130,{},,456a,204,20
131,{},,456a,205,20
132,{},,,206,16
133,{},,138a,209,12
134,{},,70,211,13
135,{},,255,214,10
136,{},,500b,215,23
137,{},,,216,16
138,{},,,217,16
139,{},,265,218,18
140,{},,266,219,18
141,{},,478b,222,20
142,{},,,223,2
143,{},,165b,226,12
144,{},,105,228,26
145,{},,,230,7
146,{},,,231,7
147,{},,327b,232,23
148,{},,328,233,23
149,{},,304b,234,20
150,{},,,235,11
151,{},,,236,7
152,{},,103a,238,12
153,{},,101,240,13
154,{},,,243,15
155,{},,,254,3
156,{},,121,266,10
157,{},,121,267,10
158,{},,318a,268,23
159,{},,325,269,4
160,{},,,269,5
161,{},,172a,270,4
162,{},,213a,271,4
163,{},,1891,272,18
164,{},,298a,274,20
165,{},,,275,7
166,{},,30,276,27
167,{},,34,280,13
168,{},,29a,281,12
169,{},,,286,7
170,{},,3335,287,18
171,{},,27a,292,12
172,{},,189,293,13
173,{},,,295,3
174,{},,,296,3
175,{},,112,297,10
176,{},,112,298,10
177,{},,112,299,10
178,{},,230,301,23
179,{},,,303,11
180,{},,8,304,28
181,{},,105,305,28
182,{},,,306,29
183,{},,20,308,19
184,{},,37,308,1
