pk,jsondata,key,description,value_pk,source_pk
185,{},,,309,3
186,{},,173a,313,4
187,{},,1992,314,18
188,{},,524b,316,20
189,{},,,317,2
190,{},,,319,3
191,{},,,321,7
192,{},,321a,322,4
193,{},,,322,5
194,{},,,323,11
195,{},,173b,325,12
196,{},,,327,30
197,{},,,329,11
198,{},,,330,7
199,{},,7,332,18
200,{},,10b,337,12
201,{},,,340,3
202,{},,,341,3
203,{},,329a,342,4
204,{},,329a,343,4
205,{},,,344,5
206,{},,168b,345,20
207,{},,,347,2
208,{},,71,349,19
209,{},,3,349,1
210,{},,237,352,23
211,{},,226a,353,4
212,{},,226a,354,4
213,{},,211a,355,20
214,{},,,356,2
215,{},,,359,3
216,{},,321b,360,4
217,{},,,360,5
218,{},,321b,361,4
219,{},,225a,362,4
220,{},,,364,2
221,{},,48,365,19
222,{},,6,365,1
223,{},,,369,7
224,{},,,370,3
225,{},,2076,371,18
226,{},,118,372,18
227,{},,462b,375,20
228,{},,,376,11
229,{},,,377,3
230,{},,,378,11
231,{},,136b,381,12
232,{},,118,383,13
233,{},,281,385,21
234,{},,281,386,21
235,{},,1196,388,18
236,{},,352a,390,20
237,{},,,391,11
238,{},,170b,394,12
239,{},,188,396,13
240,{},,9,398,21
241,{},,,399,11
242,{},,,400,11
243,{},,504a,401,23
244,{},,3030,402,18
245,{},,3034,403,18
246,{},,416,404,18
247,{},,3089,405,18
248,{},,212b,410,20
249,{},,,411,11
250,{},,,412,11
251,{},,,413,11
252,{},,,414,11
253,{},,,415,11
254,{},,,416,11
255,{},,,417,11
256,{},,,418,7
257,{},,,418,11
258,{},,,419,11
259,{},,,420,11
260,{},,,421,11
261,{},,36a,424,12
262,{},,,428,16
263,{},,281,429,21
264,{},,296a,431,4
265,{},,2746,432,18
266,{},,,434,11
267,{},,,438,11
268,{},,150b,439,12
269,{},,,443,7
270,{},,512b,444,23
271,{},,408,445,25
272,{},,495a,447,20
273,{},,,448,11
274,{},,210b,451,12
275,{},,188,453,13
276,{},,322a,454,4
277,{},,272b,457,4
278,{},,272b,458,4
279,{},,,459,16
280,{},,215a,460,23
281,{},,,461,31
282,{},,,462,32
283,{},,277a,463,4
284,{},,3648,465,18
285,{},,200b,467,20
286,{},,,468,11
287,{},,,471,2
288,{},,,474,19
289,{},,75b,475,12
290,{},,103,477,26
291,{},,,479,3
292,{},,,481,2
293,{},,58,483,19
294,{},,23,483,1
295,{},,286,485,21
296,{},,,486,11
297,{},,,487,11
298,{},,197a,488,23
299,{},,197a,489,23
300,{},,197a,490,23
301,{},,323a,496,4
302,{},,172,497,8
303,{},,171,498,8
304,{},,173,499,8
305,{},,172,500,8
306,{},,173,501,8
307,{},,173,502,8
308,{},,207,503,8
309,{},,204a,506,4
310,{},,282a,506,4
311,{},,2472,507,18
312,{},,,509,11
313,{},,,510,2
314,{},,,511,2
315,{},,,512,2
316,{},,66,514,19
317,{},,26b,515,12
318,{},,26b,516,12
319,{},,40a,517,12
320,{},,,518,30
321,{},,,524,11
322,{},,,525,3
323,{},,288,526,23
324,{},,356,527,23
325,{},,433,528,23
326,{},,607,529,23
327,{},,626,530,23
328,{},,649,531,23
329,{},,2818,532,18
330,{},,2529,533,18
331,{},,,536,17
332,{},,,537,11
333,{},,,538,11
334,{},,,541,11
335,{},,,543,3
336,{},,,543,11
337,{},,,546,7
338,{},,,547,3
339,{},,,548,16
340,{},,319a,549,4
341,{},,,550,33
342,{},,,550,10
343,{},,,551,34
344,{},,,551,35
345,{},,251a,552,4
346,{},,2801,553,18
347,{},,,555,17
348,{},,,556,11
349,{},,,557,2
350,{},,57,561,19
351,{},,32a,564,12
352,{},,,566,3
353,{},,,568,3
354,{},,214,569,10
355,{},,214,570,10
356,{},,,572,2
357,{},,,574,15
358,{},,214,577,10
359,{},,214,578,10
360,{},,267b,579,23
361,{},,3718,580,18
362,{},,652b,582,20
363,{},,76,583,27
364,{},,,586,7
365,{},,224b,587,12
366,{},,,591,3
367,{},,323b,592,4
368,{},,250b,593,4
369,{},,251a,594,4
370,{},,,595,11
371,{},,,597,2
372,{},,39,600,19
373,{},,93,600,1
374,{},,140a,602,12
375,{},,97b,603,12
376,{},,187,604,13
377,{},,174b,606,20
378,{},,373,607,18
379,{},,469,610,23
380,{},,648,611,23
381,{},,287,612,23
382,{},,,613,11
383,{},,,614,11
384,{},,,615,11
385,{},,,616,7
386,{},,,616,11
387,{},,,617,11
388,{},,16b,619,12
389,{},,144a,620,12
390,{},,273a,621,4
391,{},,25,624,27
392,{},,711,626,18
393,{},,2112,627,18
394,{},,2649,628,18
395,{},,316,629,18
396,{},,295,634,23
397,{},,,636,36
398,{},,458a,638,23
399,{},,550a,639,23
400,{},,820,640,23
401,{},,265b,641,4
402,{},,609,642,18
403,{},,438a,644,20
404,{},,535b,645,20
405,{},,,654,11
406,{},,,655,11
407,{},,438,656,23
408,{},,657,657,23
409,{},,103,658,23
410,{},,528,659,23
411,{},,,660,11
412,{},,274a,661,20
413,{},,,662,11
414,{},,,663,11
415,{},,,665,2
416,{},,,666,2
417,{},,,668,15
418,{},,43b,669,12
419,{},,,673,6
420,{},,,673,30
421,{},,409b,675,23
422,{},,1178,676,18
423,{},,389b,678,20
424,{},,,681,30
425,{},,,681,37
426,{},,112,683,13
427,{},,388a,686,23
428,{},,1353,687,18
429,{},,350a,689,20
430,{},,65a,692,12
431,{},,,693,7
432,{},,,696,7
433,{},,,697,3
434,{},,,698,11
435,{},,178a,699,4
436,{},,176b,700,4
437,{},,2204,701,18
438,{},,523a,703,20
439,{},,,704,11
440,{},,,706,2
441,{},,2,709,19
442,{},,,714,3
443,{},,,715,3
444,{},,,716,11
445,{},,,717,17
446,{},,1655,718,18
447,{},,,720,11
448,{},,,721,7
449,{},,,723,2
450,{},,71,726,19
451,{},,,727,7
452,{},,74b,728,12
453,{},,38,732,27
454,{},,195a,733,23
455,{},,3096,734,18
456,{},,167a,736,20
457,{},,,737,11
458,{},,219b,740,12
459,{},,,743,3
460,{},,,744,11
461,{},,31,746,19
462,{},,65,746,1
463,{},,,747,3
464,{},,,747,17
465,{},,,748,10
466,{},,,749,38
467,{},,,752,34
468,{},,,753,39
469,{},,173a,754,4
470,{},,2309,755,18
471,{},,,758,2
472,{},,,760,3
473,{},,,761,11
474,{},,321a,762,4
475,{},,,762,5
476,{},,,763,40
477,{},,,764,17
478,{},,,765,17
479,{},,,766,11
480,{},,,768,11
481,{},,,770,3
482,{},,,773,7
483,{},,133b,774,23
484,{},,,775,41
485,{},,,777,8
486,{},,,778,10
487,{},,295a,779,4
488,{},,,780,22
489,{},,103b,782,20
490,{},,,783,11
491,{},,,784,16
492,{},,228b,787,12
493,{},,123a,788,12
494,{},,,790,7
495,{},,,793,3
496,{},,260a,794,4
497,{},,,795,3
498,{},,,796,3
499,{},,278,797,23
500,{},,525,798,23
501,{},,537,799,23
502,{},,427,800,23
503,{},,346,801,23
504,{},,601,802,23
505,{},,621,803,23
506,{},,640,804,23
507,{},,560,805,23
508,{},,331b,806,4
509,{},,,806,5
510,{},,,807,17
511,{},,2773,808,18
512,{},,3540,809,18
513,{},,3818,810,18
514,{},,,814,17
515,{},,,815,11
516,{},,,816,11
517,{},,,817,36
518,{},,,820,7
519,{},,,822,17
520,{},,155a,823,12
521,{},,,825,11
522,{},,28,829,27
523,{},,,830,16
524,{},,,831,7
525,{},,468a,832,23
526,{},,2926,833,18
527,{},,,835,7
528,{},,134b,838,12
529,{},,184,839,13
530,{},,467b,843,23
531,{},,467b,844,23
532,{},,322a,845,4
533,{},,2968,846,18
534,{},,52,849,19
535,{},,134b,850,12
536,{},,190,853,10
537,{},,190,854,10
538,{},,111b,855,23
539,{},,,856,7
540,{},,,857,10
541,{},,3129,858,18
542,{},,,860,11
543,{},,,861,16
544,{},,,862,16
545,{},,,865,7
546,{},,185,866,13
547,{},,37b,867,12
548,{},,,870,16
549,{},,,871,11
550,{},,,872,11
551,{},,315b,873,23
552,{},,,874,11
553,{},,,876,11
554,{},,,877,11
555,{},,,880,3
556,{},,,881,3
557,{},,2634,883,18
558,{},,41a,885,42
559,{},,41a,886,42
560,{},,41a,887,42
561,{},,,890,2
562,{},,,893,3
563,{},,292b,894,4
564,{},,,896,11
565,{},,,897,11
566,{},,,898,7
567,{},,162,900,18
568,{},,,903,11
569,{},,137a,907,12
570,{},,184,908,13
571,{},,,911,11
572,{},,,912,3
573,{},,,914,8
574,{},,,914,13
575,{},,1236a,915,4
576,{},,,916,17
577,{},,1991,917,18
578,{},,,919,17
579,{},,,920,11
580,{},,,921,11
581,{},,,924,17
582,{},,,925,11
583,{},,,927,3
584,{},,,929,11
585,{},,44,931,19
586,{},,31,931,1
587,{},,,932,3
588,{},,236a,935,4
589,{},,1991,937,18
590,{},,,939,17
591,{},,,940,2
592,{},,,943,3
593,{},,,944,11
594,{},,327a,945,4
595,{},,,946,17
596,{},,,947,17
597,{},,,948,11
598,{},,,951,11
599,{},,,953,3
600,{},,,955,11
601,{},,559,956,18
602,{},,,958,11
603,{},,,962,3
604,{},,,963,3
605,{},,,964,11
606,{},,53b,965,12
607,{},,,966,3
608,{},,210a,967,4
609,{},,131,968,20
610,{},,,969,11
611,{},,,971,2
612,{},,50,974,19
613,{},,34,974,1
614,{},,,975,11
615,{},,,978,16
616,{},,,979,7
617,{},,185b,980,23
618,{},,42b,981,42
619,{},,,982,11
620,{},,67a,984,12
621,{},,,988,3
622,{},,,989,3
623,{},,,990,16
624,{},,323b,991,4
625,{},,,992,17
626,{},,1428,993,18
627,{},,198a,995,4
628,{},,,996,11
629,{},,,998,2
630,{},,,999,2
631,{},,48,1003,19
632,{},,25,1004,19
633,{},,,1006,11
634,{},,,1008,11
635,{},,,1009,7
636,{},,251,1012,10
637,{},,,1013,3
638,{},,,1014,16
639,{},,177,1015,18
640,{},,176,1016,18
641,{},,255a,1019,42
642,{},,,1020,11
643,{},,,1022,2
644,{},,13,1025,19
645,{},,94,1025,1
646,{},,155b,1026,12
647,{},,321a,1028,4
648,{},,,1028,5
649,{},,,1029,2
650,{},,258b,1031,4
651,{},,258b,1032,4
652,{},,229b,1033,4
653,{},,452,1035,23
654,{},,326b,1036,4
655,{},,204b,1037,4
656,{},,,1040,11
657,{},,,1041,3
658,{},,320a,1042,4
659,{},,,1042,5
660,{},,171a,1043,4
661,{},,3725,1044,18
662,{},,,1046,20
663,{},,,1047,16
664,{},,,1053,7
665,{},,,1054,11
666,{},,,1055,3
667,{},,,1056,17
668,{},,3344,1057,18
669,{},,,1059,20
670,{},,204b,1060,4
671,{},,,1061,11
672,{},,52,1065,27
673,{},,,1066,11
674,{},,484a,1067,23
675,{},,330b,1069,4
676,{},,217a,1070,4
677,{},,,1072,11
678,{},,137a,1074,12
679,{},,,1077,3
680,{},,,1081,11
681,{},,,1082,11
682,{},,190b,1083,12
683,{},,106,1084,26
684,{},,106,1085,26
685,{},,,1086,11
686,{},,,1087,2
687,{},,21,1091,19
688,{},,1,1091,1
689,{},,21,1092,19
690,{},,1,1092,1
691,{},,222a,1095,12
692,{},,200,1098,10
693,{},,,1099,3
694,{},,2802,1100,18
695,{},,,1102,2
696,{},,,1105,16
697,{},,262,1106,10
698,{},,,1108,7
699,{},,242b,1109,4
700,{},,813,1110,18
701,{},,,1113,7
702,{},,,1120,11
703,{},,180,1121,10
704,{},,,1122,11
705,{},,183b,1123,4
706,{},,3118,1125,18
707,{},,,1128,2
708,{},,,1131,15
709,{},,,1134,11
710,{},,,1135,3
711,{},,,1136,17
712,{},,,1137,11
713,{},,,1139,11
714,{},,,1141,7
715,{},,12,1143,27
716,{},,268,1144,21
717,{},,,1145,7
718,{},,394a,1147,23
719,{},,1958,1148,18
720,{},,1036,1149,18
721,{},,86b,1155,12
722,{},,227b,1158,42
723,{},,75,1159,18
724,{},,2217,1160,18
725,{},,3696,1161,18
726,{},,385,1166,23
727,{},,433,1167,23
728,{},,656,1168,23
729,{},,,1169,11
730,{},,75,1172,10
731,{},,788a,1173,23
732,{},,546b,1173,23
733,{},,541,1174,23
734,{},,542,1175,23
735,{},,542,1176,23
736,{},,542,1177,23
737,{},,542,1178,23
738,{},,,1179,16
739,{},,,1180,7
740,{},,178b,1181,4
741,{},,3600,1183,18
742,{},,,1191,2
743,{},,,1192,2
744,{},,65,1195,19
745,{},,45,1196,43
746,{},,44,1197,43
747,{},,98a,1198,12
748,{},,13a,1199,12
749,{},,13a,1200,12
750,{},,26,1204,27
751,{},,,1205,11
752,{},,,1206,11
753,{},,,1207,11
754,{},,,1208,11
755,{},,,1209,11
756,{},,,1210,11
757,{},,,1211,11
758,{},,343,1212,23
759,{},,636,1213,23
760,{},,515,1214,23
761,{},,556,1215,23
762,{},,596,1216,23
763,{},,618,1217,23
764,{},,,1218,22
765,{},,126,1220,20
766,{},,,1221,11
767,{},,53b,1224,12
768,{},,181,1226,13
769,{},,,1229,27
770,{},,,1230,16
771,{},,426a,1233,20
772,{},,,1234,11
773,{},,32a,1238,12
774,{},,,1241,7
775,{},,,1242,3
776,{},,,1243,10
777,{},,,1244,38
778,{},,3110,1245,18
779,{},,665,1247,17
780,{},,,1248,11
781,{},,,1249,16
782,{},,108,1252,20
783,{},,70a,1253,12
784,{},,,1255,3
785,{},,,1257,3
786,{},,,1257,11
787,{},,,1258,28
788,{},,45,1259,19
789,{},,8,1259,1
790,{},,,1260,3
791,{},,,1261,33
792,{},,,1261,10
793,{},,,1262,38
794,{},,,1263,44
795,{},,238a,1269,4
796,{},,2343,1270,18
797,{},,250b,1272,42
798,{},,,1273,2
799,{},,,1276,3
800,{},,,1278,11
801,{},,327a,1279,4
802,{},,,1281,11
803,{},,112a,1284,12
804,{},,,1285,11
805,{},,,1287,3
806,{},,,1288,11
807,{},,,1291,11
808,{},,,1292,11
809,{},,,1293,7
810,{},,,1294,11
811,{},,,1295,11
812,{},,,1296,11
813,{},,,1297,3
814,{},,441b,1298,23
815,{},,353,1299,23
816,{},,548,1300,23
817,{},,526,1301,23
818,{},,607,1302,23
819,{},,625,1303,23
820,{},,647,1304,23
821,{},,647,1305,23
822,{},,266,1306,21
823,{},,321a,1307,4
824,{},,,1307,5
825,{},,,1308,38
826,{},,174a,1309,4
827,{},,419b,1310,20
828,{},,,1311,11
829,{},,,1312,7
830,{},,,1312,11
831,{},,,1313,11
832,{},,,1314,11
833,{},,,1315,7
834,{},,,1315,11
835,{},,,1316,11
836,{},,,1317,11
837,{},,,1319,2
838,{},,11,1321,19
839,{},,266,1323,21
840,{},,26b,1325,12
841,{},,144b,1326,12
842,{},,178,1329,13
843,{},,,1332,3
844,{},,644,1333,23
845,{},,322b,1334,4
846,{},,2485,1335,18
847,{},,2708,1336,18
848,{},,633a,1339,20
849,{},,2709,1342,18
850,{},,350,1344,23
851,{},,624,1345,23
852,{},,303,1347,10
853,{},,305,1348,10
854,{},,305,1349,10
855,{},,,1350,3
856,{},,2707,1351,18
857,{},,2706,1352,18
858,{},,3074,1353,18
859,{},,,1357,7
860,{},,303,1360,10
861,{},,303,1361,10
862,{},,350,1362,23
863,{},,351,1363,23
864,{},,644,1364,23
865,{},,644,1365,23
866,{},,536,1366,23
867,{},,624,1367,23
868,{},,283,1368,23
869,{},,265,1369,21
870,{},,1059,1371,18
871,{},,1545,1372,18
872,{},,3453,1373,18
873,{},,937,1374,18
874,{},,,1379,11
875,{},,,1381,2
876,{},,,1382,2
877,{},,,1383,2
878,{},,,1384,2
879,{},,,1385,2
880,{},,44,1388,19
881,{},,45,1389,19
882,{},,88,1390,19
883,{},,,1393,38
884,{},,236a,1394,4
885,{},,236a,1395,4
886,{},,236a,1396,4
887,{},,225a,1397,4
888,{},,948,1398,18
889,{},,178,1401,13
890,{},,266,1403,21
891,{},,,1404,11
892,{},,,1405,11
893,{},,441b,1406,23
894,{},,252,1407,23
895,{},,353,1408,23
896,{},,548,1409,23
897,{},,526,1410,23
898,{},,607,1411,23
899,{},,625,1412,23
900,{},,647,1413,23
901,{},,647,1414,23
902,{},,,1415,5
903,{},,,1416,38
904,{},,174a,1417,4
905,{},,419b,1418,20
906,{},,,1419,11
907,{},,,1420,7
908,{},,,1420,11
909,{},,,1421,11
910,{},,266,1424,21
911,{},,144b,1425,12
912,{},,178,1426,13
913,{},,265,1429,21
914,{},,,1430,7
915,{},,112a,1432,12
916,{},,178,1433,13
917,{},,,1434,2
918,{},,41,1436,19
919,{},,196,1439,10
920,{},,319b,1440,4
921,{},,110,1442,10
922,{},,1843,1444,18
923,{},,,1446,11
924,{},,,1449,3
925,{},,,1450,3
926,{},,,1451,3
927,{},,,1452,16
928,{},,1778,1454,18
929,{},,,1457,11
930,{},,,1458,2
931,{},,40,1461,19
932,{},,2,1461,1
933,{},,84b,1462,12
934,{},,,1464,3
935,{},,265,1465,21
936,{},,265,1466,21
937,{},,3134,1467,18
938,{},,,1469,11
939,{},,38a,1472,12
940,{},,,1473,11
941,{},,,1474,2
942,{},,74,1475,19
943,{},,12,1475,1
944,{},,,1478,3
945,{},,,1479,11
946,{},,,1482,3
947,{},,126,1483,10
948,{},,127,1484,10
949,{},,127,1485,10
950,{},,2196,1486,18
951,{},,18.8,1486,45
952,{},,3372,1487,18
953,{},,3373,1488,18
954,{},,,1492,11
955,{},,,1494,2
956,{},,,1495,2
957,{},,,1496,2
958,{},,,1497,2
959,{},,,1498,2
960,{},,,1499,2
961,{},,,1503,15
962,{},,88,1503,19
963,{},,70,1505,21
964,{},,,1506,3
965,{},,238,1507,10
966,{},,239,1508,10
967,{},,239,1509,10
968,{},,2888,1510,18
969,{},,80,1511,18
970,{},,2232,1512,18
971,{},,2189,1513,18
972,{},,19.19,1514,45
973,{},,402,1514,18
974,{},,,1522,11
975,{},,,1525,7
976,{},,,1526,11
977,{},,,1527,11
978,{},,,1528,11
979,{},,433,1529,23
980,{},,607,1530,23
981,{},,626,1531,23
982,{},,,1532,11
983,{},,,1533,11
984,{},,150b,1535,12
985,{},,,1536,11
986,{},,,1539,3
987,{},,785b,1540,23
988,{},,288,1541,23
989,{},,433,1542,23
990,{},,433,1543,23
991,{},,648,1544,23
992,{},,507,1545,23
993,{},,,1546,11
994,{},,,1547,11
995,{},,,1549,2
996,{},,,1550,2
997,{},,,1551,2
998,{},,,1552,2
999,{},,,1553,2
1000,{},,53,1556,19
1001,{},,38,1557,19
1002,{},,53,1558,19
1003,{},,149,1560,13
1004,{},,,1562,16
1005,{},,,1563,7
1006,{},,656a,1564,23
1007,{},,,1565,31
1008,{},,,1568,11
1009,{},,22a,1571,12
1010,{},,6,1576,28
1011,{},,69,1577,28
1012,{},,322b,1578,4
1013,{},,,1578,5
1014,{},,243b,1579,4
1015,{},,,1580,17
1016,{},,,1581,7
1017,{},,74a,1585,12
1018,{},,,1587,11
1019,{},,,1588,28
1020,{},,25,1590,19
1021,{},,11,1590,1
1022,{},,,1591,3
1023,{},,,1592,33
1024,{},,,1592,46
1025,{},,,1593,32
1026,{},,,1594,44
1027,{},,175b,1600,4
1028,{},,2104,1601,18
1029,{},,,1604,2
1030,{},,,1607,3
1031,{},,,1608,11
1032,{},,324b,1609,4
1033,{},,,1609,5
1034,{},,,1610,17
1035,{},,,1611,17
1036,{},,,1612,11
1037,{},,,1613,11
1038,{},,224b,1615,12
1039,{},,114a,1616,12
1040,{},,,1618,3
1041,{},,13,1619,13
1042,{},,,1621,11
1043,{},,49,1623,19
1044,{},,71,1623,1
1045,{},,76,1624,19
1046,{},,,1625,3
1047,{},,,1626,10
1048,{},,283a,1629,4
1049,{},,246a,1630,4
1050,{},,246a,1631,4
1051,{},,1600,1632,18
1052,{},,1609,1633,18
1053,{},,1606,1634,18
1054,{},,1603,1635,18
1055,{},,,1640,20
1056,{},,156b,1641,20
1057,{},,,1642,2
1058,{},,,1643,2
1059,{},,,1644,2
1060,{},,82,1647,10
1061,{},,,1648,3
1062,{},,,1650,11
1063,{},,331b,1651,4
1064,{},,,1651,5
1065,{},,,1652,11
1066,{},,,1655,11
1067,{},,,1657,3
1068,{},,106,1658,26
1069,{},,205,1660,10
1070,{},,,1662,2
1071,{},,3,1665,19
1072,{},,,1667,2
1073,{},,,1668,2
1074,{},,,1669,2
1075,{},,,1672,3
1076,{},,,1673,3
1077,{},,202a,1674,4
1078,{},,202a,1675,4
1079,{},,102,1678,10
1080,{},,,1678,3
1081,{},,325a,1680,4
1082,{},,,1681,8
1083,{},,,1683,3
1084,{},,,1685,11
1085,{},,271a,1686,4
1086,{},,,1687,3
1087,{},,,1687,31
1088,{},,,1688,31
1089,{},,,1689,17
1090,{},,389,1692,20
1091,{},,,1693,11
1092,{},,156,1695,12
1093,{},,,1697,3
1094,{},,,1698,7
1095,{},,,1699,11
1096,{},,,1700,11
1097,{},,,1701,11
1098,{},,,1702,11
1099,{},,301,1704,18
1100,{},,1692,1705,18
1101,{},,981,1706,18
1102,{},,,1712,11
1103,{},,141,1713,23
1104,{},,141,1714,23
1105,{},,142,1715,23
1106,{},,,1716,24
1107,{},,,1716,11
1108,{},,,1717,24
1109,{},,,1717,11
1110,{},,,1718,11
1111,{},,,1719,11
1112,{},,,1720,7
1113,{},,,1720,11
1114,{},,,1722,2
1115,{},,,1723,2
1116,{},,,1724,47
1117,{},,,1725,2
1118,{},,,1726,2
1119,{},,,1727,2
1120,{},,,1728,2
1121,{},,,1729,2
1122,{},,,1730,2
1123,{},,,1731,2
1124,{},,,1732,2
1125,{},,,1733,2
1126,{},,,1736,15
1127,{},,,1737,15
1128,{},,135a,1738,12
1129,{},,137a,1739,12
1130,{},,41b,1740,12
1131,{},,47,1741,12
1132,{},,48b,1742,12
1133,{},,14b,1743,12
1134,{},,,1744,30
1135,{},,,1745,30
1136,{},,,1746,30
1137,{},,,1748,11
1138,{},,76,1749,23
1139,{},,216,1750,23
1140,{},,498b,1751,23
1141,{},,241b,1752,23
1142,{},,,1755,11
1143,{},,360,1756,23
1144,{},,629,1757,23
1145,{},,653,1758,23
1146,{},,142,1759,23
1147,{},,643a,1760,20
1148,{},,,1761,11
1149,{},,,1762,11
1150,{},,,1763,11
1151,{},,,1764,11
1152,{},,,1765,11
1153,{},,,1766,2
1154,{},,,1767,2
1155,{},,,1768,2
1156,{},,,1769,2
1157,{},,267b,1771,12
1158,{},,267a,1772,12
1159,{},,277,1774,13
1160,{},,323b,1776,4
1161,{},,,1776,5
1162,{},,203a,1777,4
1163,{},,,1779,2
1164,{},,75,1780,19
1165,{},,72,1780,1
1166,{},,,1782,11
1167,{},,,1785,3
1168,{},,,1786,3
1169,{},,,1787,3
1170,{},,,1787,11
1171,{},,,1788,33
1172,{},,,1788,10
1173,{},,870,1789,18
1174,{},,145a,1791,20
1175,{},,,1792,11
1176,{},,85a,1794,42
1177,{},,89a,1795,42
1178,{},,75,1798,19
1179,{},,75,1798,1
1180,{},,59b,1799,12
1181,{},,,1801,3
1182,{},,,1801,11
1183,{},,,1802,7
1184,{},,,1805,3
1185,{},,,1806,3
1186,{},,,1807,11
1187,{},,324a,1808,4
1188,{},,,1809,5
1189,{},,,1810,10
1190,{},,292a,1811,4
1191,{},,2606,1812,18
1192,{},,100a,1814,20
1193,{},,,1815,11
1194,{},,,1816,7
1195,{},,,1818,2
1196,{},,44,1822,19
1197,{},,70,1822,1
1198,{},,,1824,11
1199,{},,,1826,11
1200,{},,,1827,7
1201,{},,,1829,3
1202,{},,,1830,3
1203,{},,324b,1832,4
1204,{},,,1833,10
1205,{},,,1834,32
1206,{},,,1835,44
1207,{},,288b,1836,4
1208,{},,3062,1837,18
1209,{},,86,1839,20
1210,{},,87a,1840,20
1211,{},,,1841,11
1212,{},,,1842,11
1213,{},,,1843,16
1214,{},,,1846,7
1215,{},,,1846,11
1216,{},,,1848,11
1217,{},,174,1850,13
1218,{},,250,1851,10
1219,{},,212,1852,18
