jsondata,id,name,description,markup_description,pk,valueset_pk,domainelement_pk,frequency,confidence,version
{},cr-1-1-1,húuli-,yesterday,,1,1,,,,1
{},pch-1-1-1,*hú•ri-,[yesterday (2)],,2,2,,,,1
{},hi-1-1-1,hú•riširu,yesterday,,3,3,,,,1
{},ma-1-1-1,hóraʔke,yesterday,,4,4,,,,1
{},of-1-1-1,[†ó•wati],yesterday,,5,5,,,,1
{},ch-2-1-1,θʔída,long ago,,6,6,,,,1
{},qu-2-1-1,siótti,yesterday,,7,7,,,,1
{},ca-2-1-1,sųdá•,[yesterday (1)],,8,8,,,,1
{},tu-2-1-1,setoŋle,yesterday,,9,9,,,,1
{},tu-2-2-1,sitō,yesterday,,10,9,,,,1
{},tu-2-2-2,šitóre,[yesterday (1)],,11,9,,,,1
{},tu-2-2-3,citóre,[yesterday (1)],,12,9,,,,1
{},ks-2-1-1,ʔsídoǰi ~ sidóǰi,yesterday,,13,10,,,,1
{},psi-2-1-1,*sitó• (?),[yesterday (1)],,14,11,,,,1
{},pdh-2-1-1,*sitóti,[yesterday (1)],,15,12,,,,1
{},os-2-1-1,çidódsi,yesterday,,16,13,,,,1
{},op-2-1-1,çidadi,yesterday,,17,14,,,,1
{},pmv-3-1-1,*é•,[yes (2)],,18,15,,,,1
{},psi-3-1-1,*é•,[yes (2)],,19,16,,,,1
{},qu-3-1-1,ée,"yes, used by children",,20,17,,,,1
{},qu-3-1-2,hawé,"hello, greeting",,21,17,,,,1
{},wi-3-1-1,éhą,female exclamation,,22,18,,,,1
{},wi-3-1-2,ehą ?,[yes (2)],,23,18,,,,1
{},ks-3-1-1,howé,female speech,,24,19,,,,1
{},pch-3-1-1,*é•,[yes (2)],,25,20,,,,1
{},hi-3-1-1,ée,yes,,26,21,,,,1
{},cr-3-1-1,ée,[yes (2)],,27,22,,,,1
{},os-3-1-1,howé,[yes (2)],,28,23,,,,1
{},pmv-4-1-1,*(a)hą•,"[yes (1), to be so]",,29,24,,,,1
{},psi-4-1-1,*ahą́•,"[yes (1), to be so]",,30,25,,,,1
{},ma-4-1-1,hų́•,yes,,31,26,,,,1
{},bi-4-1-1,aⁿ,"[yes (1), to be so]",,32,27,,,,1
{},bi-4-2-1,aⁿháⁿ,"[yes (1), to be so]",,33,27,,,,1
{},la-4-1-1,"hą́, ohą́",yes,,34,28,,,,1
{},ch-4-1-1,hų́če,"[yes (1), to be so]",,35,29,,,,1
{},ca-4-1-1,hįbáʔ,"[yes (1), to be so]",,36,30,,,,1
{},tu-4-1-1,"ahá, aháñ","[yes (1), to be so]",,37,31,,,,1
{},sv-4-1-1,hą,"[yes (1), to be so]",,38,32,,,,1
{},wi-4-1-1,"hą́, hą́ą",female exclamation,,39,33,,,,1
{},wi-4-1-2,"hą, hąą",male exclamation,,40,33,,,,1
{},wi-4-1-3,éhą,"[yes (1), to be so]",,41,33,,,,1
{},wi-4-1-4,ehą ?,"[yes (1), to be so]",,42,33,,,,1
{},wi-4-1-5,áhą,"[yes (1), to be so]",,43,33,,,,1
{},wi-4-1-6,ahą ?,"[yes (1), to be so]",,44,33,,,,1
{},da-4-1-1,"hą, ho","[yes (1), to be so]",,45,34,,,,1
{},ks-4-1-1,hą,"yes, female speech",,46,35,,,,1
{},ks-4-1-2,ąhá,"[yes (1), to be so]",,47,35,,,,1
{},hi-4-1-1,ho,yes,,48,36,,,,1
{},pdh-4-1-1,*ąhą,"[yes (1), to be so]",,49,37,,,,1
{},qu-4-1-1,hǫ,"[yes (1), to be so]",,50,38,,,,1
{},pse-4-1-1,*ahą́,"[yes (1), to be so]",,51,39,,,,1
{},os-4-1-1,oⁿ,"[yes (1), to be so]",,52,40,,,,1
{},pda-4-1-1,*(o)hą́,"[yes (1), to be so]",,53,41,,,,1
{},op-4-1-1,ą́hą,yes,,54,42,,,,1
{},qu-5-1-1,žihí,reddish yellow,,55,43,,,,1
{},pmv-5-1-1,*ží•,[yellow > tawny],,56,44,,,,1
{},psi-5-1-1,*ší•(-re),[yellow > tawny],,57,45,,,,1
{},ma-5-1-1,sí•re,yellow,,58,46,,,,1
{},la-5-1-1,ží,"golden, rusty",,59,47,,,,1
{},ch-5-1-1,yi,[yellow > tawny],,60,48,,,,1
{},wi-5-1-1,žíi,brown,,61,49,,,,1
{},wi-5-1-2,zii,[yellow > tawny],,62,49,,,,1
{},ks-5-1-1,"ží, žíhi",[yellow > tawny],,63,50,,,,1
