jsondata,id,name,description,markup_description,pk,valueset_pk,domainelement_pk,frequency,confidence,version
{},pch-5-1-1,*ší•re,[yellow > tawny],,64,51,,,,1
{},hi-5-1-1,ší•re ~ šíʔre,"brown, tan, tawny",,65,52,,,,1
{},hi-5-1-2,ší•ri ~ šíʔiri,[yellow > tawny],,66,52,,,,1
{},pma-5-1-1,*si•re,[yellow > tawny],,67,53,,,,1
{},pdh-5-1-1,*ží ~ *žíhi,[yellow > tawny],,68,54,,,,1
{},cr-5-1-1,ší•li,yellow,,69,55,,,,1
{},op-5-1-1,ží,pink,,70,56,,,,1
{},os-5-1-1,zhíhi,"reddish, pink",,71,57,,,,1
{},pwc-5-1-1,*ží•,[yellow > tawny],,72,58,,,,1
{},pmv-6-1-1,*ɣí•,[yellow > brown],,73,59,,,,1
{},psi-6-1-1,*xí•(-re),[yellow > brown],,74,60,,,,1
{},ma-6-1-1,xíre,brown,,75,61,,,,1
{},la-6-1-1,ɣí,"rusty, brown",,76,62,,,,1
{},sv-6-1-1,ɣí,[yellow > brown],,77,63,,,,1
{},wi-6-1-1,ɣíi,light brown,,78,64,,,,1
{},wi-6-1-2,ǧii,[yellow > brown],,79,64,,,,1
{},ks-6-1-1,mąɣíga,colored ɣi from the earth,,80,65,,,,1
{},pch-6-1-1,*xí•re,[yellow > brown],,81,66,,,,1
{},hi-6-1-1,xí•re,faded yellow or brown,,82,67,,,,1
{},pma-6-1-1,*xi•re,[yellow > brown],,83,68,,,,1
{},pdh-6-1-1,*ɣi,[yellow > brown],,84,69,,,,1
{},cr-6-1-1,xí•li,gray,,85,70,,,,1
{},pda-6-1-1,*ɣí,[yellow > brown],,86,71,,,,1
{},op-6-1-1,mąčhó-ɣi,"prob. brown bear, personal name",,87,72,,,,1
{},pmv-7-1-1,*zí•,[yellow],,88,73,,,,1
{},ch-7-1-1,ði•,yellow,,89,74,,,,1
{},ca-7-1-1,siri,clear (as water),,90,75,,,,1
{},pma-7-1-1,*si•re,[yellow],,91,76,,,,1
{},la-7-1-1,zi,"yellow, pale",,92,77,,,,1
{},tu-7-1-1,siī,yellow,,93,78,,,,1
{},tu-7-1-2,wāsi,yellow,,94,78,,,,1
{},psi-7-1-1,*sí•(-re),[yellow],,95,79,,,,1
{},psc-7-1-1,*sí•ri (?),[yellow],,96,80,,,,1
{},bi-7-1-1,"sí; sidí, sídi; sihiyĕ´",make yellow,,97,81,,,,1
{},wi-7-1-1,zii,yellow,,98,82,,,,1
{},wi-7-1-2,zii,[yellow],,99,82,,,,1
{},da-7-1-1,zi,yellow,,100,83,,,,1
{},hi-7-1-1,cí•ri ~ cíʔiri,yellow,,101,84,,,,1
{},pwc-7-1-1,*zí•,[yellow],,102,85,,,,1
{},qu-7-1-1,zí,yellow,,103,86,,,,1
{},pse-7-1-1,(wa•-)sí•,[yellow],,104,87,,,,1
{},ma-7-1-1,ší•re,"tawny colored, light brown",,105,88,,,,1
{},ma-7-1-2,sí•re,yellow,,106,88,,,,1
{},of-7-1-1,fhí,yellow,,107,89,,,,1
{},of-7-2-1,[†əkfú• fhi•],yellow bead,,108,89,,,,1
{},ks-7-1-1,zíhi,yellow,,109,90,,,,1
{},pdh-7-1-1,*zí,[yellow],,110,91,,,,1
{},pbo-7-1-1,*sí,[yellow],,111,92,,,,1
{},os-7-1-1,zí,yellow,,112,93,,,,1
{},pda-7-1-1,*zi,[yellow],,113,94,,,,1
{},op-7-1-1,zi,yellow,,114,95,,,,1
{},pmv-8-1-1,*i-(loc.)-ra,[yawn],,115,96,,,,1
{},psi-8-1-1,*ʔí•- -ra•,[yawn],,116,97,,,,1
{},ma-8-1-1,í•hwere•roʔš,he yawned,,117,98,,,,1
{},la-8-1-1,iyóya,yawn,,118,99,,,,1
{},ch-8-1-1,i^ára,yawn,,119,100,,,,1
{},wi-8-1-1,ʔiyaára,[yawn],,120,101,,,,1
{},wi-8-1-2,iiyaara,[yawn],,121,101,,,,1
{},da-8-1-1,iyówa,yawn,,122,102,,,,1
{},hi-8-1-1,í•ra•,yawn,,123,103,,,,1
{},pma-8-1-1,*í•he + wre•-,[yawn],,124,104,,,,1
{},qu-8-1-1,iáda,[yawn],,125,105,,,,1
{},pmv-10-1-1,*okšų́kšų,[wrist (1)],,126,106,,,,1
{},ch-10-1-1,uʔšų́ʔšų,[wrist (1)],,127,107,,,,1
{},qu-10-1-1,áošǫšǫ,[wrist (1)],,128,108,,,,1
{},ks-10-1-1,áošǫ́šo,[wrist (1)],,129,109,,,,1
{},pdh-10-1-1,*ošǫšǫ,[wrist (1)],,130,110,,,,1
{},os-10-1-1,aushoⁿshoⁿ,[wrist (1)],,131,111,,,,1
{},op-10-1-1,ushoⁿshoⁿ,[wrist (1)],,132,112,,,,1
{},hi-11-1-1,xí•pE,wrinkled,,133,113,,,,1
{},hi-11-1-2,xí•pi,[wrinkle (3)],,134,113,,,,1
{},cr-11-1-1,xíipi,wrinkled,,135,114,,,,1
{},pch-11-1-1,*xí•pE,[wrinkle (3)],,136,115,,,,1
{},psi-11-1-1,*xí•pE,[wrinkle (3)],,137,116,,,,1
{},ma-11-1-1,xí•poʔš,it’s wrinkled,,138,117,,,,1
{},pmv-12-1-1,*xʔį́ (?),[wrinkle (2)],,139,118,,,,1
{},psi-12-1-1,*xʔį (?),[wrinkle (2)],,140,119,,,,1
{},la-12-1-1,"xʔi, oyú-","a pimple, a rough place, pimples",,141,120,,,,1
{},bi-12-1-1,xixiká,"ruffle up the feathers, as birds do",,142,121,,,,1
{},wi-12-1-1,ruxʔį́,"wrinkle, e.g., one’s nose",,143,122,,,,1
{},wi-12-1-2,rux’į,"mess up (e.g., bed)",,144,122,,,,1
{},wi-12-1-3,waxʔįxʔį́ híi,be wrinkled,,145,122,,,,1
{},wi-12-1-4,wax’įx’į hii,[wrinkle (2)],,146,122,,,,1
{},wi-12-1-5,hoįxʔí,[wrinkle (2)],,147,122,,,,1
{},wi-12-1-6,hoįx’į,[wrinkle (2)],,148,122,,,,1
{},da-12-1-1,yuḣí,"pimpled, rough",,149,123,,,,1
{},ks-12-1-1,cʔį́ya,wrinkle,,150,124,,,,1
{},ch-12-1-1,xʔį́xʔį,wrinkled,,151,125,,,,1
{},pwc-12-1-1,*xʔį́,[wrinkle (2)],,152,126,,,,1
{},pdh-12-1-1,*sʔįra,[wrinkle (2)],,153,127,,,,1
{},os-12-1-1,ṭsʔiⁿthá,"wrinkeled, wrinkles",,154,128,,,,1
{},pda-12-1-1,*yuxʔí,[wrinkle (2)],,155,129,,,,1
{},da-13-1-1,paḣíya,"roughly, not smooth",,156,130,,,,1
{},psi-13-1-1,*xi,"[wrinkle (1), ruffle]",,157,131,,,,1
{},bi-13-1-1,xixiká,ruffle up the feathers as birds,,158,132,,,,1
{},la-13-1-1,paɣį́ɣį,make wrinkles by rubbing,,159,133,,,,1
{},pmv-14-1-1,*-šį,[wrap],,160,134,,,,1
{},qu-14-1-1,"šį, odí-","wrap, fold in a bundle",,161,135,,,,1
{},wi-14-1-1,"šį́, haru-",put in a bag or sack,,162,136,,,,1
{},wi-14-1-2,harušį,"bow tie, n. (as in shoestring)",,163,136,,,,1
{},wi-14-1-3,"šį́, higi-",[wrap],,164,136,,,,1
{},wi-14-1-4,higišį,[wrap],,165,136,,,,1
{},ks-14-1-1,"šį, oyǘ-","bundle something up, cover by surrounding",,166,137,,,,1
{},pdh-14-1-1,*-šį,[wrap],,167,138,,,,1
{},os-14-1-1,béshiⁿ,flared,,168,139,,,,1
{},os-14-2-1,beṭóⁿ,fold goods,,169,139,,,,1
{},qu-15-1-1,íyo,"shoot, wound",,170,140,,,,1
{},pmv-15-1-1,*ʔo•,[wound],,171,141,,,,1
{},psi-15-1-1,*(ó-)ʔo,[wound],,172,142,,,,1
{},ma-15-1-1,úʔš,he wounded it,,173,143,,,,1
{},bi-15-1-1,ódi,shoot,,174,144,,,,1
{},bi-15-1-2,kiyó,shoot for one [benefactive],,175,144,,,,1
{},la-15-1-1,ʔó,wound sth.,,176,145,,,,1
{},ch-15-1-1,ó,wound,,177,146,,,,1
{},sv-15-1-1,o,shoot,,178,147,,,,1
{},wi-15-1-1,óo,hit the mark,,179,148,,,,1
{},wi-15-1-2,oo,hit the mark,,180,148,,,,1
{},wi-15-1-3,hiʔó,?,,181,148,,,,1
{},wi-15-1-4,hi’o,[wound],,182,148,,,,1
{},wi-15-1-5,ʔo,[wound],,183,148,,,,1
{},wi-15-1-6,oo,[wound],,184,148,,,,1
{},da-15-1-1,ʔó,shoot and hit,,185,149,,,,1
{},ks-15-1-1,ó ~ ó•,"shoot, wound",,186,150,,,,1
{},pch-15-1-1,*úʔ,[wound],,187,151,,,,1
{},hi-15-1-1,úʔ,shoot and wound,,188,152,,,,1
{},hi-15-1-2,úʔu,[wound],,189,152,,,,1
{},pma-15-1-1,*:u-,[wound],,190,153,,,,1
{},pdh-15-1-1,*ʔo•,[wound],,191,154,,,,1
{},cr-15-1-1,uú,hit target,,192,155,,,,1
{},op-15-1-1,oo,"shoot, wound",,193,156,,,,1
{},os-15-1-1,u,"wound, hurt",,194,157,,,,1
{},pda-15-1-1,*ʔo,[wound],,195,158,,,,1
{},pwc-15-1-1,*ʔo,[wound],,196,159,,,,1
{},pmv-16-1-1,*htamą,[worm],,197,160,,,,1
{},psi-16-1-1,*htáwą,[worm],,198,161,,,,1
{},la-16-1-1,támak̇a,"poor, lean",,199,162,,,,1
{},la-16-1-2,thamáheča,"poor, lean",,200,162,,,,1
{},bi-16-1-1,tamokí,"worm, worms",,201,163,,,,1
{},wi-16-1-1,camą́kazí,back of the neck,,202,164,,,,1
{},wi-16-1-2,camąkazi,[worm],,203,164,,,,1
{},da-16-1-1,támaka,"poor, lean",,204,165,,,,1
{},da-16-1-2,"támaheća, tamáheća","poor, lean",,205,165,,,,1
{},ch-16-1-1,thámą khaðí,nape of the neck,,206,166,,,,1
{},pwc-16-1-1,*thámąkhazí,[worm],,207,167,,,,1
{},pdh-16-1-1,*htamą,[worm],,208,168,,,,1
{},os-16-1-1,ṭamoⁿ´,"angleworm, earthworm",,209,169,,,,1
{},pda-16-1-1,*thama-,[worm],,210,170,,,,1
{},op-16-1-1,tamoⁿ,[worm],,211,171,,,,1
{},pmv-17-1-1,*htó•ska,[woodpecker],,212,172,,,,1
{},psi-17-1-1,*htó•ska,[woodpecker],,213,173,,,,1
{},ma-17-1-1,tóška,woodpecker,,214,174,,,,1
{},la-17-1-1,thoskála,"downy Woodpecker, red spot on head",,215,175,,,,1
{},ch-17-1-1,thóhglégleðe,blue-speckled all over,,216,176,,,,1
{},ch-17-1-2,čhóhglégleðe,[woodpecker],,217,176,,,,1
{},wi-17-1-1,čoosgé,"blue jay, tattletail",,218,177,,,,1
{},wi-17-1-2,coosge,red headed woodpecker,,219,177,,,,1
{},wi-17-1-3,čoosge pasúč,[woodpecker],,220,177,,,,1
{},wi-17-1-4,coosge paašuc ~ coosgepašuc,[woodpecker],,221,177,,,,1
{},da-17-1-1,[†toskádą],the common woodpecker,,222,178,,,,1
{},hi-17-1-1,tó•ška,woodpecker,,223,179,,,,1
{},pwc-17-1-1,*thó•ske,[woodpecker],,224,180,,,,1
{},pdh-17-1-1,*htóska,[woodpecker],,225,181,,,,1
{},os-17-1-1,ṭúçka,"woodpecker, sapsucker",,226,182,,,,1
{},pda-17-1-1,*thoskála,[woodpecker],,227,183,,,,1
{},op-17-1-1,[†ttóska],[woodpecker],,228,184,,,,1
{},pmv-18-1-1,*mąrhe,"[within, inside]",,229,185,,,,1
{},qu-18-1-1,[†mą́the],"inside, under",,230,186,,,,1
{},qu-18-2-1,[†mątháha],down into,,231,186,,,,1
{},la-18-1-1,mahé,"within, in, into",,232,187,,,,1
{},la-18-1-2,mahétu,"within, inward; deep",,233,187,,,,1
{},da-18-1-1,ma-hén,"within, into, in",,234,188,,,,1
{},ks-18-1-1,mą́čhe,under,,235,189,,,,1
{},ks-18-1-2,mąčhétta,"under, within",,236,189,,,,1
{},pdh-18-1-1,*mąthe,"[within, inside]",,237,190,,,,1
{},os-18-1-1,"moⁿ´tse, moⁿtsé","[within, inside]",,238,191,,,,1
{},pda-18-1-1,*mąhé,"[within, inside]",,239,192,,,,1
{},op-18-1-1,moⁿte,"in, inside",,240,193,,,,1
{},pmv-19-1-1,*í-,"[with, instrument]",,241,194,,,,1
{},ch-19-1-1,i-,instrumental,,242,195,,,,1
{},cr-19-1-1,ií-,"[with, instrument]",,243,196,,,,1
{},la-19-1-1,i-,instrumental,,244,197,,,,1
{},tu-19-1-1,í-,instrumental,,245,198,,,,1
{},pch-19-1-1,*i-,"[with, instrument]",,246,199,,,,1
{},psi-19-1-1,*í-,"[with, instrument]",,247,200,,,,1
{},bi-19-1-1,į ~ i,instrumental,,248,201,,,,1
{},wi-19-1-1,hi-,instrumental,,249,202,,,,1
{},wi-19-1-2,hi-,"[with, instrument]",,250,202,,,,1
{},da-19-1-1,i-,instrumental,,251,203,,,,1
{},hi-19-1-1,i-,"[with, instrument]",,252,204,,,,1
{},pwc-19-1-1,*í-,"[with, instrument]",,253,205,,,,1
{},ma-19-1-1,í-,instrumentive,,254,206,,,,1
{},pse-19-1-1,*í-,"[with, instrument]",,255,207,,,,1
{},qu-19-1-1,í-,instrumental,,256,208,,,,1
{},of-19-1-1,į ~ i,instrumental,,257,209,,,,1
{},ks-19-1-1,í-,instrumental,,258,210,,,,1
{},pdh-19-1-1,*í-,"[with, instrument]",,259,211,,,,1
{},pbo-19-1-1,*í- ~ *į-,"[with, instrument]",,260,212,,,,1
{},os-19-1-1,í-,instrumental,,261,213,,,,1
{},pda-19-1-1,*i-,"[with, instrument]",,262,214,,,,1
{},op-19-1-1,í-,instrumental,,263,215,,,,1
{},pmv-20-1-1,*ksápE,"[wise, smart, mature]",,264,216,,,,1
{},psi-20-1-1,*ksá•-pE,"[wise, smart, mature]",,265,217,,,,1
{},ma-20-1-1,kšą́toʔš,"he’s alert, smart",,266,218,,,,1
{},ma-20-1-2,wakšą́toʔš,Watch out!,,267,218,,,,1
{},la-20-1-1,ksápa,"wise, prudent",,268,219,,,,1
{},of-20-1-1,kfā´hi,old,,269,220,,,,1
{},bi-20-1-1,"aksûpi, aksûpta",look sharp!,,270,221,,,,1
{},bi-20-1-2,ksapí,grow (a human being),,271,221,,,,1
{},wi-20-1-1,booksáp,"sober up, come to",,272,222,,,,1
{},wi-20-1-2,booksap,"[wise, smart, mature]",,273,222,,,,1
{},da-20-1-1,ksápa,"wise, prudent",,274,223,,,,1
{},ks-20-1-1,sabáži,suddenly,,275,224,,,,1
{},ch-20-1-1,θabéda,"smart, wise",,276,225,,,,1
{},pma-20-1-1,*kšąt-,"[wise, smart, mature]",,277,226,,,,1
{},pdh-20-1-1,*sape,"[wise, smart, mature]",,278,227,,,,1
{},pbo-20-1-1,*ksa•-,"[wise, smart, mature]",,279,228,,,,1
{},op-20-1-1,çábe,be careful,,280,229,,,,1
{},os-20-1-1,çabé,be cautious,,281,230,,,,1
{},pda-20-1-1,*ksápA,"[wise, smart, mature]",,282,231,,,,1
{},pwc-20-1-1,*ksape,"[wise, smart, mature]",,283,232,,,,1
{},pmv-21-1-1,*-kha,"[wipe, rub, scour]",,284,233,,,,1
{},ch-21-1-1,khála,"solid, hard",,285,234,,,,1
{},qu-21-1-1,bikhá,rub smooth,,286,235,,,,1
{},wi-21-1-1,waká,"scour, shine",,287,236,,,,1
{},wi-21-1-2,waka,"[wipe, rub, scour]",,288,236,,,,1
{},ks-21-1-1,bükhábe,"[wipe, rub, scour]",,289,237,,,,1
{},pwc-21-1-1,*-khá,"[wipe, rub, scour]",,290,238,,,,1
{},pdh-21-1-1,*pü-khá,"[wipe, rub, scour]",,291,239,,,,1
{},os-21-1-1,biká,"efface, erase, obliterate, wipe out",,292,240,,,,1
{},op-21-1-1,bíka,"[wipe, rub, scour]",,293,241,,,,1
{},psi-22-1-1,*kįSE,"[wipe > rub, sweep]",,294,242,,,,1
{},ma-22-1-1,"-kíšoʔš, pa-",he wiped it off,,295,243,,,,1
{},ma-22-1-2,"-kíšoʔš, ka-",she swept it,,296,243,,,,1
{},ma-22-1-3,"-kíšoʔš, ra-",he brushes it with foot,,297,243,,,,1
{},ma-22-1-4,"-kíšoʔš, ru-",he rubs it,,298,243,,,,1
{},ma-22-1-5,íkakiška,broom,,299,243,,,,1
{},pma-22-1-1,*-kiš-,"[wipe > rub, sweep]",,300,244,,,,1
{},la-22-1-1,"-kįžA, ipá-","rub, as one’s eyes with the hands",,301,245,,,,1
{},pmv-23-1-1,*má•rįh ~ *má•-įh,[winter],,302,246,,,,1
{},ch-23-1-1,"bá•ñį, báñį•","year, winter",,303,247,,,,1
{},ca-23-1-1,wéra,[winter],,304,248,,,,1
{},ca-23-1-2,wáya,[winter],,305,248,,,,1
{},ca-23-1-3,"wayα̨, we’ra, we’ru",[winter],,306,248,,,,1
{},pma-23-1-1,*wa•rą,[winter],,307,249,,,,1
{},cr-23-1-1,báalaa,winter,,308,250,,,,1
{},la-23-1-1,waníyetu,year; winter,,309,251,,,,1
{},tu-23-1-1,"wāneñi, wānēi",[winter],,310,252,,,,1
{},pch-23-1-1,*wá•ra•,[winter],,311,253,,,,1
{},psi-23-1-1,*wá•rą•,[winter],,312,254,,,,1
{},bi-23-1-1,"anáⁿ, anaⁿḳáⁿ",[winter],,313,255,,,,1
{},wi-23-1-1,mąąnį́,[winter],,314,256,,,,1
{},wi-23-1-2,mąąnį,[winter],,315,256,,,,1
{},da-23-1-1,waníyetu,"winter, a winter; year",,316,257,,,,1
{},hi-23-1-1,wá•ra•,winter,,317,258,,,,1
{},pwc-23-1-1,*má•nį,[winter],,318,259,,,,1
{},ma-23-1-1,wą́•rąʔ,winter,,319,260,,,,1
{},pse-23-1-1,*wa•ną́•,[winter],,320,261,,,,1
{},qu-23-1-1,ománikka,year,,321,262,,,,1
{},of-23-1-1,ānó,[winter],,322,263,,,,1
{},ks-23-1-1,omą́yįkka,year,,323,264,,,,1
{},pdh-23-1-1,*omą́įhka,[winter],,324,265,,,,1
{},os-23-1-1,umoⁿiⁿḳa,year,,325,266,,,,1
{},pda-23-1-1,*waníyetu,[winter],,326,267,,,,1
{},op-23-1-1,omą́įkka,year,,327,268,,,,1
{},pmv-24-1-1,*á•hu,[wing (2)],,328,269,,,,1
{},ch-24-1-1,á•hu,wing,,329,270,,,,1
{},qu-24-1-1,áhi,wing,,330,271,,,,1
{},mo-24-1-1,aho,wing,,331,272,,,,1
{},wi-24-1-1,aahú,[wing (2)],,332,273,,,,1
{},wi-24-1-2,aahu,[wing (2)],,333,273,,,,1
{},ks-24-1-1,"áhü, áhü hį",wing,,334,274,,,,1
{},pwc-24-1-1,*á•hu,[wing (2)],,335,275,,,,1
{},pdh-24-1-1,*á•hü,[wing (2)],,336,276,,,,1
{},os-24-1-1,áhiⁿ,wings,,337,277,,,,1
{},op-24-1-1,á•hi,wing,,338,278,,,,1
{},psi-25-1-1,*xupa ~ *xųpa,[wing (1)],,339,279,,,,1
{},ma-25-1-1,ą́•pxa,wing,,340,280,,,,1
{},la-25-1-1,xupáhu,wing,,341,281,,,,1
{},of-25-1-1,tcĭshóᵐpka,wing,,342,282,,,,1
{},of-25-2-1,sóᵐpka,fish fin,,343,282,,,,1
{},of-25-3-1,nạsóᵐpka,[wing (1)],,344,282,,,,1
{},da-25-1-1,ḣupáhu,arm; wing,,345,283,,,,1
{},pch-25-1-1,*ixpá,[wing (1)],,346,284,,,,1
{},hi-25-1-1,ixpá,wing,,347,285,,,,1
{},pma-25-1-1,*ą•xpa,[wing (1)],,348,286,,,,1
{},cr-25-1-1,iaxpá,wing,,349,287,,,,1
{},pda-25-1-1,*xupá-,[wing (1)],,350,288,,,,1
{},psi-26-1-1,*xųwe,[wind (3)],,351,289,,,,1
{},la-26-1-1,itáglaxwe,"with the wind, the wind in the back",,352,290,,,,1
{},bi-26-1-1,"xyuⁿwe, ixyúⁿwĕ","roar or whistle, as the wind does",,353,291,,,,1
{},bi-26-2-1,cúⁿwe,"whistle, as the wind does",,354,291,,,,1
{},da-26-1-1,ítahdaḣbe,with the wind,,355,292,,,,1
{},hi-26-1-1,xaxo•ri,"sickly, coughing, breathing noisily",,356,293,,,,1
{},pda-26-1-1,*-xwe,[wind (3)],,357,294,,,,1
{},psi-27-1-1,*se ~ *xe,[wind (2)],,358,295,,,,1
{},ma-27-1-1,šéʔ,wind,,359,296,,,,1
{},of-27-1-1,ashū´se,wind,,360,297,,,,1
{},of-27-1-2,áshusĕ,it blows,,361,297,,,,1
{},bi-27-1-1,"xûxwĕ´, xûxwĕ´di, xuxé",wind,,362,298,,,,1
{},pch-27-1-1,*huci,[wind (2)],,363,299,,,,1
{},hi-27-1-1,húci,wind,,364,300,,,,1
{},cr-27-1-1,hučí,wind,,365,301,,,,1
{},pbo-27-1-1,*axu•xe,[wind (2)],,366,302,,,,1
{},pmv-28-1-1,*htá•te,[wind (1)],,367,303,,,,1
{},psi-28-1-1,[old reconstruction only],[wind (1)],,368,304,,,,1
{},qu-28-1-1,ttáttiǫhé,[wind (1)],,369,305,,,,1
{},la-28-1-1,thaté,wind,,370,306,,,,1
{},wi-28-1-1,mą́įtaǰéhi,"wind, storm, air",,371,307,,,,1
{},wi-28-1-2,mąįtajewehi ~ mąįtajeehi,air,,372,307,,,,1
{},wi-28-1-3,čaač,[wind (1)],,373,307,,,,1
{},wi-28-1-4,caac,[wind (1)],,374,307,,,,1
{},da-28-1-1,taté,wind,,375,308,,,,1
{},ks-28-1-1,ttaǰé,wind,,376,309,,,,1
{},ch-28-1-1,tháǰe,wind,,377,310,,,,1
{},ch-28-1-2,thá•ǰe,wind,,378,310,,,,1
{},pwc-28-1-1,*thá•te,[wind (1)],,379,311,,,,1
{},pdh-28-1-1,*htate,[wind (1)],,380,312,,,,1
{},os-28-1-1,ṭadsé,"winds, air",,381,313,,,,1
{},pda-28-1-1,*thaté,[wind (1)],,382,314,,,,1
{},op-28-1-1,tadé,[wind (1)],,383,315,,,,1
{},pmv-29-1-1,*o-hí,[win],,384,316,,,,1
{},ch-29-1-1,wóhi,win something,,385,317,,,,1
{},ch-29-1-2,uhí,win,,386,317,,,,1
{},la-29-1-1,ohí,win,,387,318,,,,1
{},wi-29-1-1,hohí,win; cheat,,388,319,,,,1
{},wi-29-1-2,hohi,[win],,389,319,,,,1
{},da-29-1-1,ohíya,"get the better of, overcome, gain, win, acquire in a game",,390,320,,,,1
{},ks-29-1-1,ó•hi,win a game or prize,,391,321,,,,1
{},pwc-29-1-1,*ohí,[win],,392,322,,,,1
{},pdh-29-1-1,*ohi,[win],,393,323,,,,1
{},os-29-1-1,uhi,"win, defeat, overcome, prevail",,394,324,,,,1
{},pda-29-1-1,*ohí-ya,[win],,395,325,,,,1
{},op-29-1-1,uhi,[win],,396,326,,,,1
{},pmv-30-1-1,*tʔé•ka,[wilt],,397,327,,,,1
{},ch-30-1-1,čʔége,lazy,,398,328,,,,1
{},qu-30-1-1,"tʔéka, di-",weaken an animal or infant,,399,329,,,,1
{},qu-30-1-2,"tʔéka, ną-",injure by kicking or trampling,,400,329,,,,1
{},la-30-1-1,tʔeča,"tepid, lukewarm",,401,330,,,,1
{},wi-30-1-1,tʔeek,be rotten,,402,331,,,,1
