pk,ord,color,proto,parent_pk,level
1,0,d2b48c,t,,0
2,1,ffe4c4,t,1,1
3,34,778899,t,1,1
4,2,87ceeb,t,2,2
5,5,2e8b57,t,2,2
6,7,ba55d3,t,2,2
7,27,008080,t,2,2
8,35,b0c4de,f,3,2
9,36,b0c4de,f,3,2
10,3,add8e6,f,4,3
11,4,add8e6,f,4,3
12,6,3cb371,f,5,3
13,8,da70d6,t,6,3
14,15,ff4500,t,6,3
15,20,ffa500,t,6,3
16,28,008b8b,t,7,3
17,31,008b8b,t,7,3
18,9,ee82ee,f,13,4
19,10,ee82ee,f,13,4
20,11,ee82ee,f,13,4
21,12,ee82ee,f,13,4
22,13,ee82ee,f,13,4
23,14,ee82ee,f,13,4
24,16,ff7f50,f,14,4
25,17,ff7f50,f,14,4
26,18,ff7f50,f,14,4
27,19,ff7f50,f,14,4
28,21,ffd700,f,15,4
29,22,ffd700,f,15,4
30,23,ffd700,f,15,4
31,24,ffd700,f,15,4
32,25,ffd700,f,15,4
33,26,ffd700,f,15,4
34,29,00ffff,f,16,4
35,30,00ffff,f,16,4
36,32,00ffff,f,17,4
37,33,00ffff,f,17,4
