pk,jsondata,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int,version
1,{},dec,RGG,Crow Dictionary1985,,,,,"Gordon, R.G.",,Crow Dictionary1985,,,,,,,,,,,,,,,,,,,,,1
2,{},j,J,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
3,{},c,RTC,,,,,,"Carter, Richard T.",,,,,,,,,,,,,,,,,,,,,,,1
4,{},ds,D&S,A dictionary of the Biloxi and Ofo languages: Accompanied with thirty-one Biloxi texts and numerous Biloxi phrases,,,,,"Dorsey, James Owen and John Reed Swanton",1912,A dictionary of the Biloxi and Ofo languages: Accompanied with thirty-one Biloxi texts and numerous Biloxi phrases,,,,,,,,,,,,,,,,,,,,,1
5,{},ssf,JSS,(slip file),,,,,"Swanton, John R. ",,(slip file),,,,,,,,,,,,,,,,,,,,,1
6,{},jgt,JGT,,,,,,"Good Tracks, Jimm",1992,,,,,,,,,,,,,,,,,,,,,,1
7,{},jod,JOD,,,,,,"Dorsey, James Owen",,,,,,,,,,,,,,,,,,,,,,,1
8,{},ks,KS,,,,,,"Shea, Kathy",,,,,,,,,,,,,,,,,,,,,,,1
9,{},g,G,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
10,{},h,H,,,,,,"Hale, Horatio",,,,,,,,,,,,,,,,,,,,,,,1
11,{},rr,RR,,,,,,"Rankin, Robert L.",,,,,,,,,,,,,,,,,,,,,,,1
12,{},lf,LF,,,,,,"La Flesche, Francis",,,,,,,,,,,,,,,,,,,,,,,1
13,{},sw,MAS,A vocabulary of the Omaha language,,,,,"Swetland, Mark J.",1977,A vocabulary of the Omaha language,,,,,,,,,,,,,,,,,,,,,1
14,{},boasandswanton,B&S, Siouan (Dakota).,,,,,"Boas, Franz and Swanton, J. ",1911, Siouan (Dakota).,,,,,,,,,,,,,,,,,,,,,1
15,{},rg,RG,,,,,,"Grazcyk, Randolph",,,,,,,,,,,,,,,,,,,,,,,1
16,{},marsh,GM,,,,,,"Marsh, Gordon",,,,,,,,,,,,,,,,,,,,,,,1
17,{},pas,PAS,,,,,,"Shaw, Patricia A.",,,,,,,,,,,,,,,,,,,,,,,1
18,{},km,KM,,,,,,"Miner, Kenneth",,,,,,,,,,,,,,,,,,,,,,,1
19,{},gg,GG,,,,,,"Gordon, R.G. and Randolph Graczyk ??",,,,,,,,,,,,,,,,,,,,,,,1
20,{},r,SRR,???,,,,,"Riggs, S. R.",,???,,,,,,,,,,,,,,,,,,,,,1
21,{},jgt92,JGT,,,,,,"Good Tracks, Jimm",1992,,,,,,,,,,,,,,,,,,,,,,1
22,{},jwe,JWE,,,,,,"White Eagle, Josephine",,,,,,,,,,,,,,,,,,,,,,,1
23,{},b,EB,A Dictionary of Teton Sioux: Lakota – English / English –  Lakhota (with consideration given to Yankton and Santee dialects),,,,,"Buechel, Fr. Eugene",1983,A Dictionary of Teton Sioux: Lakota – English / English –  Lakhota (with consideration given to Yankton and Santee dialects),,,,,,,,,,,,,,,,,,,,,1
24,{},mr,MR,(native speaker),,,,,"Rowe, Maud McCauley Clark ",,(native speaker),,,,,,,,,,,,,,,,,,,,,1
25,{},marino,MM,A dictionary od Winnebago: an analysis and reference grammar of the Radin lexical file,,,,,"Marino, Mary",1968,A dictionary od Winnebago: an analysis and reference grammar of the Radin lexical file,,,,,,,,,,,,,,,,,,,,,1
26,{},flf,F&LF,The Omaha Tribe,,,,,"Fletcher, Alice C. and Francis La Flesche",1911,The Omaha Tribe,,,,,,,,,,,,,,,,,,,,,1
27,{},lwr,LWR,,,,,,"Robinson, Lila Wistrand ",,,,,,,,,,,,,,,,,,,,,,,1
28,{},sp,FGS,???,,,,,"Speck, F. G.",,???,,,,,,,,,,,,,,,,,,,,,1
29,{},ss,SS,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
30,{},jek,JEK,,,,,,"Koontz, John E.",,,,,,,,,,,,,,,,,,,,,,,1
31,{},ej,EJ,,,,,,"James, Eli",,,,,,,,,,,,,,,,,,,,,,,1
32,{},sapir,ES,A Tutelo vocabulary,,,,,"Sapir, E.",1913,A Tutelo vocabulary,,,,,,,,,,,,,,,,,,,,,1
33,{},n,N,(Tutelo informant),,,,,Nikonha ,,(Tutelo informant),,,,,,,,,,,,,,,,,,,,,1
34,{},mrh,MRH,,,,,,"Haas, Mary R.",,,,,,,,,,,,,,,,,,,,,,,1
35,{},ms,MS,,,,,,"Swadesh, Maurice",,,,,,,,,,,,,,,,,,,,,,,1
36,{},jdh,JDH,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
37,{},mw,MW,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
38,{},hw,HW,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
39,{},swadesh,MS,,,,,,"Swadesh, Maurice",,,,,,,,,,,,,,,,,,,,,,,1
40,{},byrd,Byrd,(historical map?),,,,,Byrd,,(historical map?),,,,,,,,,,,,,,,,,,,,,1
41,{},lawson,JL,A new Voyage to Carolina,,,,,"Lawson, J.",1709,A new Voyage to Carolina,,,,,,,,,,,,,,,,,,,,,1
42,{},wm,WM,"Grammar and dictionary of the language of the Hidatsa (Minnetarees, Grosventres of the Missouri)",,,,,"Matthews, W.",1873-4,"Grammar and dictionary of the language of the Hidatsa (Minnetarees, Grosventres of the Missouri)",,,,,,,,,,,,,,,,,,,,,1
43,{},l,L,,,,,,"Lowie, Robert H.",,,,,,,,,,,,,,,,,,,,,,,1
44,{},frachtenberg,LJF,Coos Texts,,,,,"Frachtenberg, Leo Joachim",1913,Coos Texts,,,,,,,,,,,,,,,,,,,,,1
45,{},lk,WL,Winnebago grammar,,,,,"Lipkind, William",1945,Winnebago grammar,,,,,,,,,,,,,,,,,,,,,1
46,{},hale,HH,,,,,,"Hale, Horatio",,,,,,,,,,,,,,,,,,,,,,,1
47,{},handv,H&V,,,,,,"Harris, Zellig and Florence or Cherles",,,,,,,,,,,,,,,,,,,,,,,1
48,{},dor,DOR,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
49,{},om,OM,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
50,{},fs,FS,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
51,{},gro,GRO,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
52,{},bandd,B&D,Dakota Grammar,,,,,"Boas, Franz and Deloria, Ella",1941,Dakota Grammar,,,,,,,,,,,,,,,,,,,,,1
53,{},voorhis,PV,,,,,,"Voorhis, Paul",,,,,,,,,,,,,,,,,,,,,,,1
54,{},art,ART,,,,,,"Taylor, Allan R.",,,,,,,,,,,,,,,,,,,,,,,1
55,{},kennard,EK,Mandan grammar,,,,,"Kennard, Edward",1936,Mandan grammar,,,,,,,,,,,,,,,,,,,,,1
56,{},hewitt,JNBH,,,,,,"Hewitt, John Napoleon Brinton",,,,,,,,,,,,,,,,,,,,,,,1
57,{},fontaine,F,(Saponi word list),,,,,Fontaine,,(Saponi word list),,,,,,,,,,,,,,,,,,,,,1
58,{},say,SAY,,,,,,"Say, ???",,,,,,,,,,,,,,,,,,,,,,,1
59,{},w,W,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
60,{},v,PV,,,,,,"Voorhis, Paul",,,,,,,,,,,,,,,,,,,,,,,1
