pk,jsondata,id,name,description,markup_description,glottolog_id,google_book_search_id,bibtex_type,author,year,title,type,booktitle,editor,pages,edition,journal,school,address,url,note,number,series,volume,publisher,organization,chapter,howpublished,year_int,startpage_int,pages_int,version
61,{},haas,MRH,,,,,,"Haas, Mary R.",,,,,,,,,,,,,,,,,,,,,,,1
62,{},cfvoegelinpersonalnotes,CFV,(personal notes),,,,,"Voegelin, C. F.",,(personal notes),,,,,,,,,,,,,,,,,,,,,1
63,{},drummond,DR,(Stoney Texts),,,,,"Drummond, V.",,(Stoney Texts),,,,,,,,,,,,,,,,,,,,,1
64,{},delorianotes,ED,(notes),,,,,"Deloria, Ella",,(notes),,,,,,,,,,,,,,,,,,,,,1
65,{},awj,AWJ,,,,,,"Jones, A. Wesley ",,,,,,,,,,,,,,,,,,,,,,,1
66,{},kr,KR,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
67,{},cs,CS,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
68,{},lipkind,WL,Winnebago Grammar,,,,,"Lipkind, William",1945,Winnebago Grammar,,,,,,,,,,,,,,,,,,,,,1
69,{},eb,EB,A Dictionary of Teton Sioux: Lakota – English / English –  Lakhota (with consideration given to Yankton and Santee dialects),,,,,"Buechel, Fr. Eugene",1983,A Dictionary of Teton Sioux: Lakota – English / English –  Lakhota (with consideration given to Yankton and Santee dialects),,,,,,,,,,,,,,,,,,,,,1
70,{},d,D,???,,,,,"Deloria, Ella",,???,,,,,,,,,,,,,,,,,,,,,1
71,{},riggs,SRR,???,,,,,"Riggs, S. R.",,???,,,,,,,,,,,,,,,,,,,,,1
72,{},hwm,HWM,Ethnography and philology of the Hidatsa Indians,,,,,"Matthews, Washington",1877,Ethnography and philology of the Hidatsa Indians,,,,,,,,,,,,,,,,,,,,,1
73,{},asg,ASG,Grammatical sketch of the Catawba language,,,,,"Gatschet, Albert S.",1900,Grammatical sketch of the Catawba language,,,,,,,,,,,,,,,,,,,,,1
74,{},srr,SRR,,,,,,"Riggs, S. R.",,,,,,,,,,,,,,,,,,,,,,,1
75,{},dsf,DSF,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
76,{},headley,RKH,The origin and distribution of the Siouan speaking tribes,,,,,"Headley, R. K., Jr.",1971,The origin and distribution of the Siouan speaking tribes,,,,,,,,,,,,,,,,,,,,,1
77,{},gilmore,MRG,Uses of plants by the Indians of the Missouri River region,,,,,"Gilmore, Melvin R.",1919,Uses of plants by the Indians of the Missouri River region,,,,,,,,,,,,,,,,,,,,,1
78,{},rtc,RTC,,,,,,"Carter, Richard T.",,,,,,,,,,,,,,,,,,,,,,,1
79,{},rh,RH,???,,,,,"Hollow, R. C.",,???,,,,,,,,,,,,,,,,,,,,,1
80,{},mjs,MJS,???,,,,,"Swetland, Mark J.",,???,,,,,,,,,,,,,,,,,,,,,1
81,{},gmsf,GMsf,(slip file),,,,,"Marsh, Gordon",,(slip file),,,,,,,,,,,,,,,,,,,,,1
82,{},hh,HH,,,,,,"Hale, Horatio",,,,,,,,,,,,,,,,,,,,,,,1
83,{},pje,PJE,,,,,,"Einaudi, Paula Ferris",,,,,,,,,,,,,,,,,,,,,,,1
84,{},sfs,SFS,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
85,{},whitman,WW,???,,,,,"Whitman, W.",,???,,,,,,,,,,,,,,,,,,,,,1
86,{},landc,L&C,,,,,,Lewis & Clark,,,,,,,,,,,,,,,,,,,,,,,1
87,{},oliverio,GO,???,,,,,"Oliverio, G. R. M.",,???,,,,,,,,,,,,,,,,,,,,,1
88,{},einaudi,PFE, A Grammar of Biloxi,,,,,"Einaudi, Paula Ferris",1976, A Grammar of Biloxi,,,,,,,,,,,,,,,,,,,,,1
89,{},will,Will,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
90,{},vegreville,RV,,,,,,"Vegreville, Rev.",,,,,,,,,,,,,,,,,,,,,,,1
91,{},gordon,RGG,,,,,,"Gordon, R.G.",,,,,,,,,,,,,,,,,,,,,,,1
92,{},pd,PD,???,,,,,"Parks, Douglas and Raymond J. Demallie",,???,,,,,,,,,,,,,,,,,,,,,1
93,{},lur,NOL,,,,,,"Lurie, Nancy?",,,,,,,,,,,,,,,,,,,,,,,1
94,{},rs,RS,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
95,{},stabler,EST,(native speaker),,,,,"Stabler, Elizabeth",,(native speaker),,,,,,,,,,,,,,,,,,,,,1
96,{},jodcnaevi,JOD,???,,,,,"Dorsey, James Owen",,???,,,,,,,,,,,,,,,,,,,,,1
97,{},hv,HV,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
98,{},ham,HAM,,,,,,"Hamilton, William",,,,,,,,,,,,,,,,,,,,,,,1
99,{},dsr,DSR,,,,,,"Rood, David S.",,,,,,,,,,,,,,,,,,,,,,,1
100,{},pv,PV,,,,,,"Voorhis, Paul",,,,,,,,,,,,,,,,,,,,,,,1
101,{},dorseyvocabulary,JODv,(vocabulary),,,,,"Dorsey, James Owen",,(vocabulary),,,,,,,,,,,,,,,,,,,,,1
102,{},rc,RTC,,,,,,"Carter, Richard T.",,,,,,,,,,,,,,,,,,,,,,,1
103,{},lr,LWR,,,,,,"Robinson, Lila Wistrand ",,,,,,,,,,,,,,,,,,,,,,,1
104,{},spandschaeffer,Sp&S,Catawba kinship and social organization with a resume of Tutelo kinship terms,,,,,"Speck, F. G. and C. E. Schaeffer",1942,Catawba kinship and social organization with a resume of Tutelo kinship terms,,,,,,,,,,,,,,,,,,,,,1
105,{},jodslipfile,JOD,slip file,,,,,"Dorsey, James Owen",,slip file,,,,,,,,,,,,,,,,,,,,,1
106,{},rudes,BAR,,,,,,"Rudes, B. A.",,,,,,,,,,,,,,,,,,,,,,,1
107,{},susman,AS,The accentual system of Winnebago,,,,,"Susman, Amelia",1943,The accentual system of Winnebago,,,,,,,,,,,,,,,,,,,,,1
108,{},mithun,MMI,,,,,,"Mithun, Marianne",,,,,,,,,,,,,,,,,,,,,,,1
109,{},cq,CQ,,,,,,"Quintero, Carolyn",,,,,,,,,,,,,,,,,,,,,,,1
110,{},bt,BT,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
111,{},hahn,FH,,,,,,"Hahn, Frida",,,,,,,,,,,,,,,,,,,,,,,1
112,{},laurie,Laurie,???,,,,,"Laurie, ?",,???,,,,,,,,,,,,,,,,,,,,,1
113,{},huronsmith,HS,,,,,,"Smith, Huron",,,,,,,,,,,,,,,,,,,,,,,1
114,{},tb,TB,(texts),,,,,"Buechel, Fr. Eugene",,(texts),,,,,,,,,,,,,,,,,,,,,1
115,{},bristow,BR,(a collaborator of Carolyn Quintero (deceased)),,,,,"Bristow, ???",,(a collaborator of Carolyn Quintero (deceased)),,,,,,,,,,,,,,,,,,,,,1
116,{},glwilson,GLW,,,,,,"Wilson, G. L.",,,,,,,,,,,,,,,,,,,,,,,1
117,{},mooney,JM,"The ghost-dance religion, and the Sioux outbreak of 1890",,,,,"Mooney, J.",1891,"The ghost-dance religion, and the Sioux outbreak of 1890",,,,,,,,,,,,,,,,,,,,,1
118,{},keith,SK,(native speaker),,,,,"Keith, Sydney ",,(native speaker),,,,,,,,,,,,,,,,,,,,,1
119,{},vc,VC,(native speaker),,,,,"Catches, Violet",,(native speaker),,,,,,,,,,,,,,,,,,,,,1
120,{},gallatin,Gallatin,,,,,,Gallatin,,,,,,,,,,,,,,,,,,,,,,,1
121,{},wdr,WDR,,,,,,"de Reuse, Willem",,,,,,,,,,,,,,,,,,,,,,,1
122,{},mrg,MRG,,,,,,"Gilmore, Melvin R.",,,,,,,,,,,,,,,,,,,,,,,1
123,{},pg,PG,,,,,,???,,,,,,,,,,,,,,,,,,,,,,,1
124,{},williamson,JPW,An English-Dakota dictionary,,,,,"Williamson, J. P.",1902,An English-Dakota dictionary,,,,,,,,,,,,,,,,,,,,,1
125,{},marten,AEM,The morphophonemics of the Winnebago verbal,,,,,"Marten, A. E.",1964,The morphophonemics of the Winnebago verbal,,,,,,,,,,,,,,,,,,,,,1
