pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source,version
1,{},cr-1,,,10,1,1,,1
2,{},pch-1,,,4,1,1,,1
3,{},hi-1,,,11,1,1,,1
4,{},ma-1,,,12,1,1,,1
5,{},of-1,,,35,1,1,,1
6,{},ch-2,,,24,2,2,,1
7,{},qu-2,,,33,2,2,,1
8,{},ca-2,,,8,2,2,,1
9,{},tu-2,,,36,2,2,,1
10,{},ks-2,,,31,2,2,,1
11,{},psi-2,,,2,2,2,,1
12,{},pdh-2,,,15,2,2,,1
13,{},os-2,,,32,2,2,,1
14,{},op-2,,,29,2,2,,1
15,{},pmv-3,,,6,3,3,,1
16,{},psi-3,,,2,3,3,,1
17,{},qu-3,,,33,3,3,,1
18,{},wi-3,,,27,3,3,,1
19,{},ks-3,,,31,3,3,,1
20,{},pch-3,,,4,3,3,,1
21,{},hi-3,,,11,3,3,,1
22,{},cr-3,,,10,3,3,,1
23,{},os-3,,,32,3,3,,1
24,{},pmv-4,,,6,4,4,,1
25,{},psi-4,,,2,4,4,,1
26,{},ma-4,,,12,4,4,,1
27,{},bi-4,,,34,4,4,,1
28,{},la-4,,,18,4,4,,1
29,{},ch-4,,,24,4,4,,1
30,{},ca-4,,,8,4,4,,1
31,{},tu-4,,,36,4,4,,1
32,{},sv-4,,,23,4,4,,1
33,{},wi-4,,,27,4,4,,1
34,{},da-4,,,19,4,4,,1
35,{},ks-4,,,31,4,4,,1
36,{},hi-4,,,11,4,4,,1
37,{},pdh-4,,,15,4,4,,1
38,{},qu-4,,,33,4,4,,1
39,{},pse-4,,,7,4,4,,1
40,{},os-4,,,32,4,4,,1
41,{},pda-4,,,13,4,4,,1
42,{},op-4,,,29,4,4,,1
43,{},qu-5,,,33,5,5,,1
44,{},pmv-5,,,6,5,5,,1
45,{},psi-5,,,2,5,5,,1
46,{},ma-5,,,12,5,5,,1
47,{},la-5,,,18,5,5,,1
48,{},ch-5,,,24,5,5,,1
49,{},wi-5,,,27,5,5,,1
50,{},ks-5,,,31,5,5,,1
51,{},pch-5,,,4,5,5,,1
52,{},hi-5,,,11,5,5,,1
53,{},pma-5,,,5,5,5,,1
54,{},pdh-5,,,15,5,5,,1
55,{},cr-5,,,10,5,5,,1
56,{},op-5,,,29,5,5,,1
57,{},os-5,,,32,5,5,,1
58,{},pwc-5,,,14,5,5,,1
59,{},pmv-6,,,6,6,6,,1
60,{},psi-6,,,2,6,6,,1
61,{},ma-6,,,12,6,6,,1
62,{},la-6,,,18,6,6,,1
63,{},sv-6,,,23,6,6,,1
