pk,jsondata,id,description,markup_description,language_pk,parameter_pk,contribution_pk,source,version
64,{},wi-6,,,27,6,6,,1
65,{},ks-6,,,31,6,6,,1
66,{},pch-6,,,4,6,6,,1
67,{},hi-6,,,11,6,6,,1
68,{},pma-6,,,5,6,6,,1
69,{},pdh-6,,,15,6,6,,1
70,{},cr-6,,,10,6,6,,1
71,{},pda-6,,,13,6,6,,1
72,{},op-6,,,29,6,6,,1
73,{},pmv-7,,,6,7,7,,1
74,{},ch-7,,,24,7,7,,1
75,{},ca-7,,,8,7,7,,1
76,{},pma-7,,,5,7,7,,1
77,{},la-7,,,18,7,7,,1
78,{},tu-7,,,36,7,7,,1
79,{},psi-7,,,2,7,7,,1
80,{},psc-7,,,1,7,7,,1
81,{},bi-7,,,34,7,7,,1
82,{},wi-7,,,27,7,7,,1
83,{},da-7,,,19,7,7,,1
84,{},hi-7,,,11,7,7,,1
85,{},pwc-7,,,14,7,7,,1
86,{},qu-7,,,33,7,7,,1
87,{},pse-7,,,7,7,7,,1
88,{},ma-7,,,12,7,7,,1
89,{},of-7,,,35,7,7,,1
90,{},ks-7,,,31,7,7,,1
91,{},pdh-7,,,15,7,7,,1
92,{},pbo-7,,,16,7,7,,1
93,{},os-7,,,32,7,7,,1
94,{},pda-7,,,13,7,7,,1
95,{},op-7,,,29,7,7,,1
96,{},pmv-8,,,6,8,8,,1
97,{},psi-8,,,2,8,8,,1
98,{},ma-8,,,12,8,8,,1
99,{},la-8,,,18,8,8,,1
100,{},ch-8,,,24,8,8,,1
101,{},wi-8,,,27,8,8,,1
102,{},da-8,,,19,8,8,,1
103,{},hi-8,,,11,8,8,,1
104,{},pma-8,,,5,8,8,,1
105,{},qu-8,,,33,8,8,,1
106,{},pmv-10,,,6,10,10,,1
107,{},ch-10,,,24,10,10,,1
108,{},qu-10,,,33,10,10,,1
109,{},ks-10,,,31,10,10,,1
110,{},pdh-10,,,15,10,10,,1
111,{},os-10,,,32,10,10,,1
112,{},op-10,,,29,10,10,,1
113,{},hi-11,,,11,11,11,,1
114,{},cr-11,,,10,11,11,,1
115,{},pch-11,,,4,11,11,,1
116,{},psi-11,,,2,11,11,,1
117,{},ma-11,,,12,11,11,,1
118,{},pmv-12,,,6,12,12,,1
119,{},psi-12,,,2,12,12,,1
120,{},la-12,,,18,12,12,,1
121,{},bi-12,,,34,12,12,,1
122,{},wi-12,,,27,12,12,,1
123,{},da-12,,,19,12,12,,1
124,{},ks-12,,,31,12,12,,1
125,{},ch-12,,,24,12,12,,1
126,{},pwc-12,,,14,12,12,,1
127,{},pdh-12,,,15,12,12,,1
128,{},os-12,,,32,12,12,,1
129,{},pda-12,,,13,12,12,,1
130,{},da-13,,,19,13,13,,1
131,{},psi-13,,,2,13,13,,1
132,{},bi-13,,,34,13,13,,1
133,{},la-13,,,18,13,13,,1
134,{},pmv-14,,,6,14,14,,1
135,{},qu-14,,,33,14,14,,1
136,{},wi-14,,,27,14,14,,1
137,{},ks-14,,,31,14,14,,1
138,{},pdh-14,,,15,14,14,,1
139,{},os-14,,,32,14,14,,1
140,{},qu-15,,,33,15,15,,1
141,{},pmv-15,,,6,15,15,,1
142,{},psi-15,,,2,15,15,,1
143,{},ma-15,,,12,15,15,,1
144,{},bi-15,,,34,15,15,,1
145,{},la-15,,,18,15,15,,1
146,{},ch-15,,,24,15,15,,1
147,{},sv-15,,,23,15,15,,1
148,{},wi-15,,,27,15,15,,1
149,{},da-15,,,19,15,15,,1
150,{},ks-15,,,31,15,15,,1
151,{},pch-15,,,4,15,15,,1
152,{},hi-15,,,11,15,15,,1
153,{},pma-15,,,5,15,15,,1
154,{},pdh-15,,,15,15,15,,1
155,{},cr-15,,,10,15,15,,1
156,{},op-15,,,29,15,15,,1
157,{},os-15,,,32,15,15,,1
158,{},pda-15,,,13,15,15,,1
159,{},pwc-15,,,14,15,15,,1
160,{},pmv-16,,,6,16,16,,1
161,{},psi-16,,,2,16,16,,1
162,{},la-16,,,18,16,16,,1
163,{},bi-16,,,34,16,16,,1
164,{},wi-16,,,27,16,16,,1
165,{},da-16,,,19,16,16,,1
166,{},ch-16,,,24,16,16,,1
167,{},pwc-16,,,14,16,16,,1
168,{},pdh-16,,,15,16,16,,1
169,{},os-16,,,32,16,16,,1
170,{},pda-16,,,13,16,16,,1
171,{},op-16,,,29,16,16,,1
172,{},pmv-17,,,6,17,17,,1
173,{},psi-17,,,2,17,17,,1
174,{},ma-17,,,12,17,17,,1
175,{},la-17,,,18,17,17,,1
176,{},ch-17,,,24,17,17,,1
177,{},wi-17,,,27,17,17,,1
178,{},da-17,,,19,17,17,,1
179,{},hi-17,,,11,17,17,,1
180,{},pwc-17,,,14,17,17,,1
181,{},pdh-17,,,15,17,17,,1
182,{},os-17,,,32,17,17,,1
183,{},pda-17,,,13,17,17,,1
184,{},op-17,,,29,17,17,,1
185,{},pmv-18,,,6,18,18,,1
186,{},qu-18,,,33,18,18,,1
187,{},la-18,,,18,18,18,,1
188,{},da-18,,,19,18,18,,1
189,{},ks-18,,,31,18,18,,1
190,{},pdh-18,,,15,18,18,,1
191,{},os-18,,,32,18,18,,1
192,{},pda-18,,,13,18,18,,1
193,{},op-18,,,29,18,18,,1
194,{},pmv-19,,,6,19,19,,1
195,{},ch-19,,,24,19,19,,1
196,{},cr-19,,,10,19,19,,1
197,{},la-19,,,18,19,19,,1
198,{},tu-19,,,36,19,19,,1
199,{},pch-19,,,4,19,19,,1
200,{},psi-19,,,2,19,19,,1
201,{},bi-19,,,34,19,19,,1
202,{},wi-19,,,27,19,19,,1
203,{},da-19,,,19,19,19,,1
204,{},hi-19,,,11,19,19,,1
205,{},pwc-19,,,14,19,19,,1
206,{},ma-19,,,12,19,19,,1
207,{},pse-19,,,7,19,19,,1
208,{},qu-19,,,33,19,19,,1
209,{},of-19,,,35,19,19,,1
210,{},ks-19,,,31,19,19,,1
211,{},pdh-19,,,15,19,19,,1
212,{},pbo-19,,,16,19,19,,1
213,{},os-19,,,32,19,19,,1
214,{},pda-19,,,13,19,19,,1
215,{},op-19,,,29,19,19,,1
216,{},pmv-20,,,6,20,20,,1
217,{},psi-20,,,2,20,20,,1
218,{},ma-20,,,12,20,20,,1
219,{},la-20,,,18,20,20,,1
220,{},of-20,,,35,20,20,,1
221,{},bi-20,,,34,20,20,,1
222,{},wi-20,,,27,20,20,,1
223,{},da-20,,,19,20,20,,1
224,{},ks-20,,,31,20,20,,1
225,{},ch-20,,,24,20,20,,1
226,{},pma-20,,,5,20,20,,1
227,{},pdh-20,,,15,20,20,,1
228,{},pbo-20,,,16,20,20,,1
229,{},op-20,,,29,20,20,,1
230,{},os-20,,,32,20,20,,1
231,{},pda-20,,,13,20,20,,1
232,{},pwc-20,,,14,20,20,,1
233,{},pmv-21,,,6,21,21,,1
234,{},ch-21,,,24,21,21,,1
235,{},qu-21,,,33,21,21,,1
236,{},wi-21,,,27,21,21,,1
237,{},ks-21,,,31,21,21,,1
238,{},pwc-21,,,14,21,21,,1
239,{},pdh-21,,,15,21,21,,1
240,{},os-21,,,32,21,21,,1
241,{},op-21,,,29,21,21,,1
242,{},psi-22,,,2,22,22,,1
243,{},ma-22,,,12,22,22,,1
244,{},pma-22,,,5,22,22,,1
245,{},la-22,,,18,22,22,,1
246,{},pmv-23,,,6,23,23,,1
247,{},ch-23,,,24,23,23,,1
248,{},ca-23,,,8,23,23,,1
249,{},pma-23,,,5,23,23,,1
250,{},cr-23,,,10,23,23,,1
251,{},la-23,,,18,23,23,,1
252,{},tu-23,,,36,23,23,,1
253,{},pch-23,,,4,23,23,,1
254,{},psi-23,,,2,23,23,,1
255,{},bi-23,,,34,23,23,,1
256,{},wi-23,,,27,23,23,,1
257,{},da-23,,,19,23,23,,1
258,{},hi-23,,,11,23,23,,1
259,{},pwc-23,,,14,23,23,,1
260,{},ma-23,,,12,23,23,,1
261,{},pse-23,,,7,23,23,,1
262,{},qu-23,,,33,23,23,,1
263,{},of-23,,,35,23,23,,1
264,{},ks-23,,,31,23,23,,1
265,{},pdh-23,,,15,23,23,,1
266,{},os-23,,,32,23,23,,1
267,{},pda-23,,,13,23,23,,1
268,{},op-23,,,29,23,23,,1
269,{},pmv-24,,,6,24,24,,1
270,{},ch-24,,,24,24,24,,1
271,{},qu-24,,,33,24,24,,1
272,{},mo-24,,,25,24,24,,1
273,{},wi-24,,,27,24,24,,1
274,{},ks-24,,,31,24,24,,1
275,{},pwc-24,,,14,24,24,,1
276,{},pdh-24,,,15,24,24,,1
277,{},os-24,,,32,24,24,,1
278,{},op-24,,,29,24,24,,1
279,{},psi-25,,,2,25,25,,1
280,{},ma-25,,,12,25,25,,1
281,{},la-25,,,18,25,25,,1
282,{},of-25,,,35,25,25,,1
283,{},da-25,,,19,25,25,,1
284,{},pch-25,,,4,25,25,,1
285,{},hi-25,,,11,25,25,,1
286,{},pma-25,,,5,25,25,,1
287,{},cr-25,,,10,25,25,,1
288,{},pda-25,,,13,25,25,,1
289,{},psi-26,,,2,26,26,,1
290,{},la-26,,,18,26,26,,1
291,{},bi-26,,,34,26,26,,1
292,{},da-26,,,19,26,26,,1
293,{},hi-26,,,11,26,26,,1
294,{},pda-26,,,13,26,26,,1
295,{},psi-27,,,2,27,27,,1
296,{},ma-27,,,12,27,27,,1
297,{},of-27,,,35,27,27,,1
298,{},bi-27,,,34,27,27,,1
299,{},pch-27,,,4,27,27,,1
300,{},hi-27,,,11,27,27,,1
301,{},cr-27,,,10,27,27,,1
302,{},pbo-27,,,16,27,27,,1
303,{},pmv-28,,,6,28,28,,1
304,{},psi-28,,,2,28,28,,1
305,{},qu-28,,,33,28,28,,1
306,{},la-28,,,18,28,28,,1
307,{},wi-28,,,27,28,28,,1
308,{},da-28,,,19,28,28,,1
309,{},ks-28,,,31,28,28,,1
310,{},ch-28,,,24,28,28,,1
311,{},pwc-28,,,14,28,28,,1
312,{},pdh-28,,,15,28,28,,1
313,{},os-28,,,32,28,28,,1
314,{},pda-28,,,13,28,28,,1
315,{},op-28,,,29,28,28,,1
316,{},pmv-29,,,6,29,29,,1
317,{},ch-29,,,24,29,29,,1
318,{},la-29,,,18,29,29,,1
319,{},wi-29,,,27,29,29,,1
320,{},da-29,,,19,29,29,,1
321,{},ks-29,,,31,29,29,,1
322,{},pwc-29,,,14,29,29,,1
323,{},pdh-29,,,15,29,29,,1
324,{},os-29,,,32,29,29,,1
325,{},pda-29,,,13,29,29,,1
326,{},op-29,,,29,29,29,,1
327,{},pmv-30,,,6,30,30,,1
328,{},ch-30,,,24,30,30,,1
329,{},qu-30,,,33,30,30,,1
330,{},la-30,,,18,30,30,,1
331,{},wi-30,,,27,30,30,,1
332,{},da-30,,,19,30,30,,1
333,{},ks-30,,,31,30,30,,1
334,{},pwc-30,,,14,30,30,,1
335,{},pdh-30,,,15,30,30,,1
336,{},os-30,,,32,30,30,,1
337,{},pda-30,,,13,30,30,,1
338,{},op-30,,,29,30,30,,1
339,{},pmv-31,,,6,31,31,,1
340,{},ch-31,,,24,31,31,,1
341,{},qu-31,,,33,31,31,,1
342,{},bi-31,,,34,31,31,,1
343,{},wi-31,,,27,31,31,,1
344,{},ks-31,,,31,31,31,,1
345,{},psi-31,,,2,31,31,,1
346,{},pwc-31,,,14,31,31,,1
347,{},pdh-31,,,15,31,31,,1
348,{},ot-31,,,26,31,31,,1
349,{},os-31,,,32,31,31,,1
350,{},op-31,,,29,31,31,,1
351,{},pmv-32,,,6,32,32,,1
352,{},ch-32,,,24,32,32,,1
353,{},qu-32,,,33,32,32,,1
354,{},la-32,,,18,32,32,,1
355,{},wi-32,,,27,32,32,,1
356,{},da-32,,,19,32,32,,1
357,{},ks-32,,,31,32,32,,1
358,{},pwc-32,,,14,32,32,,1
359,{},pdh-32,,,15,32,32,,1
360,{},os-32,,,32,32,32,,1
361,{},pda-32,,,13,32,32,,1
362,{},op-32,,,29,32,32,,1
363,{},of-33,,,35,33,33,,1
364,{},pbo-33,,,16,33,33,,1
365,{},bi-33,,,34,33,33,,1
366,{},ch-34,,,24,34,34,,1
367,{},la-34,,,18,34,34,,1
368,{},tu-34,,,36,34,34,,1
369,{},bi-34,,,34,34,34,,1
370,{},wi-34,,,27,34,34,,1
371,{},da-34,,,19,34,34,,1
372,{},ks-34,,,31,34,34,,1
373,{},pch-34,,,4,34,34,,1
374,{},hi-34,,,11,34,34,,1
375,{},pwc-34,,,14,34,34,,1
376,{},pdh-34,,,15,34,34,,1
377,{},cr-34,,,10,34,34,,1
378,{},os-34,,,32,34,34,,1
379,{},pda-34,,,13,34,34,,1
380,{},op-34,,,29,34,34,,1
381,{},psi-35,,,2,35,35,,1
382,{},ma-35,,,12,35,35,,1
383,{},pch-35,,,4,35,35,,1
384,{},hi-35,,,11,35,35,,1
385,{},pma-35,,,5,35,35,,1
386,{},cr-35,,,10,35,35,,1
387,{},pmv-36,,,6,36,36,,1
388,{},ch-36,,,24,36,36,,1
389,{},qu-36,,,33,36,36,,1
390,{},la-36,,,18,36,36,,1
391,{},ks-36,,,31,36,36,,1
392,{},pdh-36,,,15,36,36,,1
393,{},op-36,,,29,36,36,,1
394,{},pmv-37,,,6,37,37,,1
395,{},psi-37,,,2,37,37,,1
396,{},of-37,,,35,37,37,,1
397,{},ca-37,,,8,37,37,,1
398,{},bi-37,,,34,37,37,,1
399,{},wi-37,,,27,37,37,,1
400,{},ks-37,,,31,37,37,,1
401,{},hi-37,,,11,37,37,,1
402,{},pdh-37,,,15,37,37,,1
403,{},cr-37,,,10,37,37,,1
404,{},os-37,,,32,37,37,,1
405,{},op-37,,,29,37,37,,1
406,{},da-38,,,19,38,38,,1
407,{},pda-38,,,13,38,38,,1
408,{},la-38,,,18,38,38,,1
409,{},pmv-39,,,6,39,39,,1
410,{},psi-39,,,2,39,39,,1
411,{},qu-39,,,33,39,39,,1
412,{},la-39,,,18,39,39,,1
413,{},wi-39,,,27,39,39,,1
414,{},st-39,,,22,39,39,,1
415,{},ks-39,,,31,39,39,,1
416,{},ch-39,,,24,39,39,,1
417,{},pwc-39,,,14,39,39,,1
418,{},pdh-39,,,15,39,39,,1
419,{},os-39,,,32,39,39,,1
420,{},pda-39,,,13,39,39,,1
421,{},op-39,,,29,39,39,,1
422,{},pmv-40,,,6,40,40,,1
423,{},psi-40,,,2,40,40,,1
424,{},qu-40,,,33,40,40,,1
425,{},la-40,,,18,40,40,,1
426,{},ch-40,,,24,40,40,,1
427,{},of-40,,,35,40,40,,1
428,{},tu-40,,,36,40,40,,1
429,{},bi-40,,,34,40,40,,1
430,{},wi-40,,,27,40,40,,1
431,{},da-40,,,19,40,40,,1
432,{},ks-40,,,31,40,40,,1
433,{},hi-40,,,11,40,40,,1
434,{},pwc-40,,,14,40,40,,1
435,{},pdh-40,,,15,40,40,,1
436,{},cr-40,,,10,40,40,,1
437,{},pbo-40,,,16,40,40,,1
438,{},pse-40,,,7,40,40,,1
439,{},os-40,,,32,40,40,,1
440,{},pda-40,,,13,40,40,,1
441,{},op-40,,,29,40,40,,1
442,{},psi-41,,,2,41,41,,1
443,{},ma-41,,,12,41,41,,1
444,{},pch-41,,,4,41,41,,1
445,{},hi-41,,,11,41,41,,1
446,{},pma-41,,,5,41,41,,1
447,{},cr-41,,,10,41,41,,1
448,{},pmv-42,,,6,42,42,,1
449,{},psi-42,,,2,42,42,,1
450,{},ma-42,,,12,42,42,,1
451,{},la-42,,,18,42,42,,1
452,{},wi-42,,,27,42,42,,1
453,{},da-42,,,19,42,42,,1
454,{},ch-42,,,24,42,42,,1
455,{},pma-42,,,5,42,42,,1
456,{},pdh-42,,,15,42,42,,1
457,{},qu-42,,,33,42,42,,1
458,{},os-42,,,32,42,42,,1
459,{},pda-42,,,13,42,42,,1
460,{},pwc-42,,,14,42,42,,1
461,{},psi-43,,,2,43,43,,1
462,{},ma-43,,,12,43,43,,1
463,{},of-43,,,35,43,43,,1
464,{},bi-43,,,34,43,43,,1
465,{},ks-43,,,31,43,43,,1
466,{},pch-43,,,4,43,43,,1
467,{},hi-43,,,11,43,43,,1
468,{},pma-43,,,5,43,43,,1
469,{},pdh-43,,,15,43,43,,1
470,{},cr-43,,,10,43,43,,1
471,{},pbo-43,,,16,43,43,,1
472,{},os-43,,,32,43,43,,1
473,{},op-43,,,29,43,43,,1
474,{},pmv-44,,,6,44,44,,1
475,{},da-44,,,19,44,44,,1
476,{},wi-44,,,27,44,44,,1
477,{},pda-44,,,13,44,44,,1
478,{},la-44,,,18,44,44,,1
479,{},ks-46,,,31,46,46,,1
480,{},psi-46,,,2,46,46,,1
481,{},os-46,,,32,46,46,,1
482,{},bi-46,,,34,46,46,,1
483,{},pdh-46,,,15,46,46,,1
484,{},pmv-47,,,6,47,47,,1
485,{},ch-47,,,24,47,47,,1
486,{},pwc-47,,,14,47,47,,1
487,{},wi-47,,,27,47,47,,1
488,{},la-47,,,18,47,47,,1
489,{},pmv-48,,,6,48,48,,1
490,{},ch-48,,,24,48,48,,1
491,{},qu-48,,,33,48,48,,1
492,{},la-48,,,18,48,48,,1
493,{},bi-48,,,34,48,48,,1
494,{},wi-48,,,27,48,48,,1
495,{},da-48,,,19,48,48,,1
496,{},ks-48,,,31,48,48,,1
497,{},psi-48,,,2,48,48,,1
498,{},pdh-48,,,15,48,48,,1
499,{},os-48,,,32,48,48,,1
500,{},pda-48,,,13,48,48,,1
501,{},op-48,,,29,48,48,,1
502,{},pmv-49,,,6,49,49,,1
503,{},psi-49,,,2,49,49,,1
504,{},qu-49,,,33,49,49,,1
505,{},la-49,,,18,49,49,,1
506,{},ch-49,,,24,49,49,,1
507,{},da-49,,,19,49,49,,1
508,{},ks-49,,,31,49,49,,1
509,{},pch-49,,,4,49,49,,1
510,{},hi-49,,,11,49,49,,1
511,{},pdh-49,,,15,49,49,,1
512,{},cr-49,,,10,49,49,,1
513,{},os-49,,,32,49,49,,1
514,{},pda-49,,,13,49,49,,1
515,{},op-49,,,29,49,49,,1
516,{},pmv-50,,,6,50,50,,1
517,{},ch-50,,,24,50,50,,1
518,{},qu-50,,,33,50,50,,1
519,{},la-50,,,18,50,50,,1
520,{},wi-50,,,27,50,50,,1
521,{},da-50,,,19,50,50,,1
522,{},pwc-50,,,14,50,50,,1
523,{},pdh-50,,,15,50,50,,1
524,{},os-50,,,32,50,50,,1
525,{},pda-50,,,13,50,50,,1
526,{},op-50,,,29,50,50,,1
527,{},pmv-51,,,6,51,51,,1
528,{},qu-51,,,33,51,51,,1
529,{},la-51,,,18,51,51,,1
530,{},wi-51,,,27,51,51,,1
531,{},da-51,,,19,51,51,,1
532,{},pdh-51,,,15,51,51,,1
533,{},pse-51,,,7,51,51,,1
534,{},os-51,,,32,51,51,,1
535,{},op-51,,,29,51,51,,1
536,{},pmv-52,,,6,52,52,,1
537,{},psi-52,,,2,52,52,,1
538,{},qu-52,,,33,52,52,,1
539,{},la-52,,,18,52,52,,1
540,{},ch-52,,,24,52,52,,1
541,{},bi-52,,,34,52,52,,1
542,{},wi-52,,,27,52,52,,1
543,{},da-52,,,19,52,52,,1
544,{},ks-52,,,31,52,52,,1
545,{},pch-52,,,4,52,52,,1
546,{},hi-52,,,11,52,52,,1
547,{},pwc-52,,,14,52,52,,1
548,{},pdh-52,,,15,52,52,,1
549,{},cr-52,,,10,52,52,,1
550,{},os-52,,,32,52,52,,1
551,{},pda-52,,,13,52,52,,1
552,{},pmv-53,,,6,53,53,,1
553,{},psi-53,,,2,53,53,,1
554,{},ma-53,,,12,53,53,,1
555,{},la-53,,,18,53,53,,1
556,{},ch-53,,,24,53,53,,1
557,{},sv-53,,,23,53,53,,1
558,{},wi-53,,,27,53,53,,1
559,{},ks-53,,,31,53,53,,1
560,{},pch-53,,,4,53,53,,1
561,{},hi-53,,,11,53,53,,1
562,{},pma-53,,,5,53,53,,1
563,{},pdh-53,,,15,53,53,,1
564,{},cr-53,,,10,53,53,,1
565,{},op-53,,,29,53,53,,1
566,{},os-53,,,32,53,53,,1
567,{},pda-53,,,13,53,53,,1
568,{},pwc-53,,,14,53,53,,1
569,{},pmv-54,,,6,54,54,,1
570,{},ch-54,,,24,54,54,,1
571,{},la-54,,,18,54,54,,1
572,{},wi-54,,,27,54,54,,1
573,{},da-54,,,19,54,54,,1
574,{},ks-54,,,31,54,54,,1
575,{},pwc-54,,,14,54,54,,1
576,{},pdh-54,,,15,54,54,,1
577,{},os-54,,,32,54,54,,1
578,{},pda-54,,,13,54,54,,1
579,{},pmv-55,,,6,55,55,,1
580,{},ch-55,,,24,55,55,,1
581,{},pma-55,,,5,55,55,,1
582,{},cr-55,,,10,55,55,,1
583,{},la-55,,,18,55,55,,1
584,{},tu-55,,,36,55,55,,1
585,{},pch-55,,,4,55,55,,1
586,{},psi-55,,,2,55,55,,1
587,{},bi-55,,,34,55,55,,1
588,{},wi-55,,,27,55,55,,1
589,{},pse-55,,,7,55,55,,1
590,{},hi-55,,,11,55,55,,1
591,{},pwc-55,,,14,55,55,,1
592,{},ma-55,,,12,55,55,,1
593,{},qu-55,,,33,55,55,,1
594,{},of-55,,,35,55,55,,1
595,{},sp-55,,,37,55,55,,1
596,{},sv-55,,,23,55,55,,1
597,{},st-55,,,22,55,55,,1
598,{},ks-55,,,31,55,55,,1
599,{},pdh-55,,,15,55,55,,1
600,{},os-55,,,32,55,55,,1
601,{},pda-55,,,13,55,55,,1
602,{},op-55,,,29,55,55,,1
603,{},pmv-56,,,6,56,56,,1
604,{},psi-56,,,2,56,56,,1
605,{},qu-56,,,33,56,56,,1
606,{},la-56,,,18,56,56,,1
607,{},wo-56,,,9,56,56,,1
608,{},psc-56,,,1,56,56,,1
609,{},ca-56,,,8,56,56,,1
610,{},tu-56,,,36,56,56,,1
611,{},bi-56,,,34,56,56,,1
612,{},wi-56,,,27,56,56,,1
613,{},da-56,,,19,56,56,,1
614,{},ks-56,,,31,56,56,,1
615,{},ch-56,,,24,56,56,,1
616,{},pwc-56,,,14,56,56,,1
617,{},pdh-56,,,15,56,56,,1
618,{},os-56,,,32,56,56,,1
619,{},pda-56,,,13,56,56,,1
620,{},op-56,,,29,56,56,,1
621,{},pmv-57,,,6,57,57,,1
622,{},psi-57,,,2,57,57,,1
623,{},ma-57,,,12,57,57,,1
624,{},bi-57,,,34,57,57,,1
625,{},la-57,,,18,57,57,,1
626,{},of-57,,,35,57,57,,1
627,{},sv-57,,,23,57,57,,1
628,{},wi-57,,,27,57,57,,1
629,{},da-57,,,19,57,57,,1
630,{},ks-57,,,31,57,57,,1
631,{},ch-57,,,24,57,57,,1
632,{},pma-57,,,5,57,57,,1
633,{},pdh-57,,,15,57,57,,1
634,{},qu-57,,,33,57,57,,1
635,{},pbo-57,,,16,57,57,,1
636,{},st-57,,,22,57,57,,1
637,{},os-57,,,32,57,57,,1
638,{},op-57,,,29,57,57,,1
639,{},pda-57,,,13,57,57,,1
640,{},pwc-57,,,14,57,57,,1
641,{},pmv-58,,,6,58,58,,1
642,{},ch-58,,,24,58,58,,1
643,{},qu-58,,,33,58,58,,1
644,{},la-58,,,18,58,58,,1
645,{},wi-58,,,27,58,58,,1
646,{},ks-58,,,31,58,58,,1
647,{},pwc-58,,,14,58,58,,1
648,{},pdh-58,,,15,58,58,,1
649,{},os-58,,,32,58,58,,1
650,{},op-58,,,29,58,58,,1
651,{},pmv-59,,,6,59,59,,1
652,{},psi-59,,,2,59,59,,1
653,{},qu-59,,,33,59,59,,1
654,{},la-59,,,18,59,59,,1
655,{},of-59,,,35,59,59,,1
656,{},wi-59,,,27,59,59,,1
657,{},pdh-59,,,15,59,59,,1
658,{},cr-59,,,10,59,59,,1
659,{},os-59,,,32,59,59,,1
660,{},pmv-60,,,6,60,60,,1
661,{},psi-60,,,2,60,60,,1
662,{},ma-60,,,12,60,60,,1
663,{},la-60,,,18,60,60,,1
664,{},tu-60,,,36,60,60,,1
665,{},wi-60,,,27,60,60,,1
666,{},ks-60,,,31,60,60,,1
667,{},ch-60,,,24,60,60,,1
668,{},pma-60,,,5,60,60,,1
669,{},pdh-60,,,15,60,60,,1
670,{},qu-60,,,33,60,60,,1
671,{},op-60,,,29,60,60,,1
672,{},os-60,,,32,60,60,,1
673,{},pwc-60,,,14,60,60,,1
674,{},pmv-61,,,6,61,61,,1
675,{},ch-61,,,24,61,61,,1
676,{},qu-61,,,33,61,61,,1
677,{},la-61,,,18,61,61,,1
678,{},ks-61,,,31,61,61,,1
679,{},pdh-61,,,15,61,61,,1
680,{},os-61,,,32,61,61,,1
681,{},op-61,,,29,61,61,,1
682,{},pmv-62,,,6,62,62,,1
683,{},psi-62,,,2,62,62,,1
684,{},ma-62,,,12,62,62,,1
685,{},la-62,,,18,62,62,,1
686,{},tu-62,,,36,62,62,,1
687,{},wi-62,,,27,62,62,,1
688,{},da-62,,,19,62,62,,1
689,{},pma-62,,,5,62,62,,1
690,{},pda-62,,,13,62,62,,1
691,{},hi-63,,,11,63,63,,1
692,{},psi-63,,,2,63,63,,1
693,{},ma-63,,,12,63,63,,1
694,{},bi-63,,,34,63,63,,1
695,{},pmv-64,,,6,64,64,,1
696,{},ch-64,,,24,64,64,,1
697,{},qu-64,,,33,64,64,,1
698,{},wi-64,,,27,64,64,,1
