ID,Name,ISO639P3code,Glottocode,Glottolog_Name
mo,"Missouria",,miss1249,
pma,"Pre-Mandan",,,
pbo,"Proto-Biloxi-Ofo",,bilo1247,
pca,"Proto-Catawba",,cata1285,Catawban
pch,"Proto-Crow-Hidatsa",,miss1252,
pda,"Proto-Dakota",,dako1257,
pdh,"Proto-Dhegiha",,dheg1241,
pwc,"Proto-Hoocąk-Chiwere",,winn1245,
pmv,"Proto-Mississipi-Valley",,miss1254,
psi,"Proto-Siouan",sio,core1249,
psc,"Proto-Siouan-Catawba",,siou1252,
pse,"Proto-Southeastern",,sout2988,
sv,"Sioux Valley",,dako1258,
cr,Crow,cro,crow1244,
hi,Hidatsa,hid,hida1246,
ma,Mandan,mhq,mand1446,
of,Ofo,ofo,ofoo1242,
ca,Catawba,chc,cata1286,
ch,Chiwere,iow,iowa1245,
op,Omaha-Ponca,oma,omah1247,
ks,Kanza/Kaw,ksk,kans1243,
os,Osage,osa,osag1243,
qu,Quapaw,qua,quap1242,
tu,Tutelo,tta,tute1247,
wi,Hoocąk,win,hoch1243,
la,Lakota,lkt,lako1247,
da,Dakota,dak,dako1258,
bi,Biloxi,bll,bilo1248,
ot,Otoe,iow,iowa1245,
st,Stoney,sto,ston1242,
sp,Saponi,tta,tute1247,
wo,Woccon,xwc,wocc1242,
om,Omaha,oma,omah1247,
pn,Ponca,oma,omah1247,
ya,Yanktonai,dak,dako1258,
as,Assiniboine,asb,assi1247,
